MAYO_blue	MAYO_greenyellow	MAYO_lightcyan	MAYO_midnightblue	MAYO_purple	MAYO_turquoise	ROSMAP_green	ROSMAP_purple	ROSMAP_turquoise	count	cross	neglogSum
DNA Repair_Reactome	22.8350860930676	0	0	5.05744506750107	0	0	0	6.43227858291116	0	3	TRUE	34.3248097434798
TNFalpha_NetPath	6.28672467868484	0	0	0	0	17.5275478699745	0	0	9.92646004594118	3	TRUE	33.7407325946005
Regulation of insulin secretion_Reactome	0	0	0	0	0	16.6980967755706	4.77413400087541	0	11.5511850830998	3	TRUE	33.0234158595458
Signaling by NTRK1 (TRKA)_Reactome	5.05470115816895	0	0	0	0	12.0185116717243	0	0	15.4979663178122	3	TRUE	32.5711791477055
Non-alcoholic fatty liver disease (NAFLD)_KEGG	8.78456275339308	0	0	0	0	5.30440453792962	0	0	18.3966615057106	3	TRUE	32.4856287970333
Thyroid hormone signaling pathway_KEGG	0	0	0	9.01723926041258	0	12.6561650556226	0	0	9.9088623450711	3	TRUE	31.5822666611062
Cellular senescence_KEGG	0	0	0	0	0	16.2863561583934	0	4.98491533376566	9.86455153118023	3	TRUE	31.1358230233393
Serotonergic synapse_KEGG	0	4.9940985258693	0	0	0	21.5435298905328	0	0	4.37474154952942	3	TRUE	30.9123699659315
AndrogenReceptor_NetPath	12.1424220515889	0	0	0	0	10.3904239164358	0	0	6.31666571221534	3	TRUE	28.84951168024
Ciliary landscape_Wikipathways	11.2202634094381	0	0	0	0	8.16758046539842	0	0	8.84013068797143	3	TRUE	28.227974562808
Insulin secretion_KEGG	0	0	0	0	0	12.8731393820206	5.37100402434557	0	9.07063796848752	3	TRUE	27.3147813748537
Transport of small molecules_Reactome	0	0	0	0	5.82917368420777	9.33509806362665	0	0	12.053676893863	3	TRUE	27.2179486416974
Endocytosis_KEGG	7.14563264374893	0	0	0	0	8.84980141328427	0	0	10.5769062725106	3	TRUE	26.5723403295438
Ion channel transport_Reactome	0	0	0	0	4.77825202864949	10.3408854298558	0	0	10.6941206518865	3	TRUE	25.8132581103918
hiv-1 nef: negative effector of fas and tnf_BioCarta	4.37862066365869	0	0	0	0	16.4721890734255	0	0	4.52397516952737	3	TRUE	25.3747849066115
Signaling by Rho GTPases_Reactome	0	0	0	0	5.04433066646701	10.1850824079851	0	0	9.67054211193406	3	TRUE	24.8999551863861
Ectoderm Differentiation_Wikipathways	0	4.39564779979375	0	0	0	8.98937500448568	0	0	11.3866085602868	3	TRUE	24.7716313645663
TGF-beta Signaling Pathway_Wikipathways	0	0	0	0	0	10.1538671419667	0	5.70230724085377	8.89915567135091	3	TRUE	24.7553300541714
Hepatitis B_KEGG	0	0	0	4.71028274459601	0	12.8459425220681	0	0	6.79547593777852	3	TRUE	24.3517012044426
Regulation of TP53 Activity through Phosphorylation_Reactome	12.1514077325331	0	0	0	0	0	0	7.06244877668703	5.04758866959015	3	TRUE	24.2614451788102
EGF-Core_Signalink	6.14068966918214	0	0	0	0	8.51642132764781	0	0	9.5036285581262	3	TRUE	24.1607395549561
TNF alpha Signaling Pathway_Wikipathways	9.11034779490612	0	0	0	0	10.6676968283551	0	0	4.3474207377359	3	TRUE	24.1254653609971
TGF_beta_Receptor_NetPath	0	0	0	0	0	11.9945905035064	0	4.70074255425154	6.30095951386696	3	TRUE	22.9962925716249
Glucose metabolism_Reactome	0	5.60363611991363	0	0	0	10.7403978026878	0	0	6.57912546113365	3	TRUE	22.9231593837351
Endometrial cancer_Wikipathways	0	0	0	0	0	13.2527714368676	0	5.0528417033157	4.42905154133732	3	TRUE	22.7346646815206
Effects of PIP2 hydrolysis_Reactome	0	0	0	0	7.54152021423373	8.74732408522363	0	0	6.40923393125409	3	TRUE	22.6980782307114
Noncanonical Wnt signaling pathway_PID	4.92906248360434	0	0	0	0	10.4601764500446	0	0	6.72340704681684	3	TRUE	22.1126459804658
Thermogenesis_Wikipathways	0	0	0	5.47536723781504	0	6.04600331966305	0	0	10.5144305431715	3	TRUE	22.0358011006496
Prolactin_NetPath	0	0	7.34193798897873	0	0	8.65313645186469	0	0	5.99339301217866	3	TRUE	21.9884674530221
CLEC7A (Dectin-1) signaling_Reactome	5.01066182046787	0	0	0	0	8.61853466120155	0	0	8.35331413645274	3	TRUE	21.9825106181221
Notch_INOH	12.0114091876116	0	0	0	0	4.37763065766832	0	0	5.5354992458511	3	TRUE	21.924539091131
Mineral absorption_KEGG	0	0	0	0	5.77038537583173	9.80180854401001	0	0	6.14446887367139	3	TRUE	21.7166627935131
TNF receptor signaling pathway _PID	5.4663492061425	0	0	0	0	11.1436755159965	0	0	4.72727770942421	3	TRUE	21.3373024315632
Breast cancer pathway_Wikipathways	0	0	0	0	0	10.6353634691731	0	5.12552374769123	5.48686769188383	3	TRUE	21.2477549087482
Wnt Canonical_INOH	6.73143346588244	0	0	0	0	4.98915253870337	0	0	9.01748127256925	3	TRUE	20.7380672771551
Wnt Mammals_INOH	6.73143346588244	0	0	0	0	4.98915253870337	0	0	9.01748127256925	3	TRUE	20.7380672771551
Fas Ligand (FasL) pathway and Stress induction of Heat Shock Proteins (HSP) regulation_Wikipathways	4.50652387154835	0	0	0	0	11.4328008663542	0	0	4.68947460198345	3	TRUE	20.628799339886
Post-translational protein modification_Reactome	6.35537321042162	0	0	0	0	5.49119371287031	0	0	8.66166905361425	3	TRUE	20.5082359769062
Hedgehog_INOH	6.90515129690394	0	0	0	0	6.89356718940005	6.45162766813896	0	0	3	TRUE	20.250346154443
Signaling by NOTCH_Reactome	0	4.85729371007914	0	0	0	7.9016325353381	0	0	7.3256745292602	3	TRUE	20.0846007746774
Tight junction_KEGG	0	0	0	0	4.96622760486619	8.7964346328587	0	0	6.23735041029636	3	TRUE	20.0000126480213
Cell Cycle_Wikipathways	7.76298235432869	0	0	0	0	7.63165948150278	0	0	4.33301074131898	3	TRUE	19.7276525771505
Excitatory Neural Signalling Through 5-HTR 6 and Serotonin _SMPDB	0	0	0	0	4.95782888888932	7.01297592164351	0	0	7.51359080721398	3	TRUE	19.4843956177468
wnt signaling pathway_BioCarta	6.97168095483333	0	0	0	0	5.04602912940035	0	0	7.24220877812835	3	TRUE	19.259918862362
Vascular smooth muscle contraction_KEGG	0	0	0	0	6.24807957666087	5.2225989821947	0	0	7.62702111292898	3	TRUE	19.0976996717846
Toll Like Receptor 7/8 (TLR7/8) Cascade_Reactome	4.56220719545936	0	0	0	0	7.69708792403973	0	0	6.57912546113365	3	TRUE	18.8384205806327
MyD88 dependent cascade initiated on endosome_Reactome	4.56220719545936	0	0	0	0	7.69708792403973	0	0	6.57912546113365	3	TRUE	18.8384205806327
Cyclin A/B1/B2 associated events during G2/M transition_Reactome	4.68534948169687	0	0	0	0	6.73300302156025	0	0	5.98824165383554	3	TRUE	17.4065941570927
Toll Like Receptor 9 (TLR9) Cascade_Reactome	5.19351935496933	0	0	0	0	6.52079508964425	0	0	5.56665679034004	3	TRUE	17.2809712349536
Excitatory Neural Signalling Through 5-HTR 4 and Serotonin_SMPDB	0	0	0	0	4.95782888888932	7.01297592164351	0	0	4.90637405502622	3	TRUE	16.877178865559
Excitatory Neural Signalling Through 5-HTR 7 and  Serotonin _SMPDB	0	0	0	0	4.95782888888932	7.01297592164351	0	0	4.90637405502622	3	TRUE	16.877178865559
Intracellular Signalling Through Histamine H2 Receptor and Histamine_SMPDB	0	0	0	0	4.95782888888932	7.01297592164351	0	0	4.90637405502622	3	TRUE	16.877178865559
Inhibition of exosome biogenesis and secretion by Manumycin A in CRPC cells_Wikipathways	0	0	0	4.71371378529775	0	4.6772315797979	0	0	7.00631365923683	3	TRUE	16.3972590243325
Pathway_PA165959425_PharmGKB	0	0	0	4.71371378529775	0	6.31410930601115	0	0	5.2537243465349	3	TRUE	16.2815474378438
SUMOylation of DNA damage response and repair proteins_Reactome	0	6.06370897589023	0	0	0	5.67218494469306	4.34394727885136	0	0	3	TRUE	16.0798411994346
KitReceptor_NetPath	0	0	0	0	4.9195303779746	5.67346097538353	0	0	5.11436822106893	3	TRUE	15.7073595744271
Gap junction trafficking_Reactome	0	0	0	0	0	5.24052831536888	4.7142594805598	0	5.74955492236383	3	TRUE	15.7043427182925
glycogenolysis_HumanCyc	5.22257857034004	5.50939296858667	0	0	0	0	0	4.71267573220198	0	3	TRUE	15.4446472711287
SUMOylation_Reactome	0	4.70698453822207	0	0	0	4.85521594256563	5.80135061117777	0	0	3	TRUE	15.3635510919655
p38 MAPK Signaling Pathway_Wikipathways	4.54610767674118	0	0	0	0	6.19896410517328	0	0	4.60562066280103	3	TRUE	15.3506924447155
Adipogenesis_Wikipathways	0	0	0	0	5.94261013217695	4.51793190093085	0	0	4.78006714015584	3	TRUE	15.2406091732636
mechanism of gene regulation by peroxisome proliferators via ppara_BioCarta	4.51849915944584	0	0	0	0	4.80448909842506	0	0	5.79758692923741	3	TRUE	15.1205751871083
Cell-type Dependent Selectivity of CCK2R Signaling_Wikipathways	0	0	0	5.17573130299407	0	4.51621833963951	0	0	4.99858110073698	3	TRUE	14.6905307433705
Axonal growth inhibition (RHOA activation)_Reactome	0	0	0	0	4.95782888888932	4.52220739198767	0	0	4.90637405502622	3	TRUE	14.3864103359032
Signaling events mediated by PTP1B_PID	4.37862066365869	0	0	0	0	4.50371638479639	0	0	5.46828668011217	3	TRUE	14.3506237285672
SUMO E3 ligases SUMOylate target proteins_Reactome	0	4.83523203746946	0	0	0	4.79054814925589	4.69305479254435	0	0	3	TRUE	14.3188349792697
Axon guidance_Reactome	0	0	0	4.62371001338018	0	60.5188259953706	0	0	53.9718840480603	3	TRUE	119.114420056811
Platelet Adhesion to exposed collagen_Reactome	0	4.98574387723948	0	0	0	0	0	0	4.99858110073698	2	TRUE	9.98432497797646
Mitochondrial translation_Reactome	5.19351935496933	0	0	0	0	0	4.75245983210974	0	0	2	TRUE	9.94597918707907
ATR Signaling_Wikipathways	5.22257857034004	0	0	0	0	0	0	4.71267573220198	0	2	TRUE	9.93525430254203
spliceosomal assembly_BioCarta	5.22257857034004	0	0	0	0	0	0	4.71267573220198	0	2	TRUE	9.93525430254203
Phase 2 - plateau phase_Reactome	0	0	0	0	0	5.13878051744037	4.78990967372949	0	0	2	TRUE	9.92869019116987
Nuclear Events (kinase and transcription factor activation)_Reactome	0	0	0	0	0	5.26090632249129	0	0	4.60288766162583	2	TRUE	9.86379398411712
Androgen Receptor Network in Prostate Cancer_Wikipathways	4.38345108495813	0	0	0	0	0	0	0	5.43228329831621	2	TRUE	9.81573438327434
mets affect on macrophage differentiation_BioCarta	0	4.52482714030021	0	0	0	0	0	0	5.2537243465349	2	TRUE	9.77855148683511
Bile secretion_KEGG	0	0	0	0	4.88201642339368	0	0	0	4.85779851321749	2	TRUE	9.73981493661116
Reelin signaling pathway_PID	0	0	0	0	0	5.13878051744037	0	0	4.59006705083096	2	TRUE	9.72884756827133
Sterol Regulatory Element-Binding Proteins (SREBP) signalling_Wikipathways	4.87263062465551	0	0	0	0	0	0	4.85040501794966	0	2	TRUE	9.72303564260516
NAD+ metabolism_Wikipathways	0	0	0	4.88065301494697	0	0	0	0	4.81131365204452	2	TRUE	9.69196666699149
guanosine nucleotides de novo biosynthesis_HumanCyc	0	0	0	4.88065301494697	0	0	0	0	4.81131365204452	2	TRUE	9.69196666699149
p38 signaling mediated by MAPKAP kinases_PID	0	0	0	0	0	4.52578739789071	0	0	5.13470727133232	2	TRUE	9.66049466922303
Alpha4 beta1 integrin signaling events_PID	0	0	0	0	0	4.97519478432498	0	0	4.60562066280103	2	TRUE	9.58081544712601
Thyroid cancer_KEGG	0	0	0	0	0	4.92116412625731	0	0	4.62744432152982	2	TRUE	9.54860844778714
Sema4D in semaphorin signaling_Reactome	0	0	0	0	0	4.41935183981864	0	0	5.06002532297264	2	TRUE	9.47937716279128
Miscellaneous transport and binding events_Reactome	0	0	0	0	0	4.41935183981864	0	0	5.06002532297264	2	TRUE	9.47937716279128
COPI-dependent Golgi-to-ER retrograde traffic_Reactome	0	0	0	0	0	4.89817673236342	0	0	4.5707475809952	2	TRUE	9.46892431335862
PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases_Reactome	0	0	0	5.07031054168735	0	0	0	0	4.36057589961814	2	TRUE	9.43088644130548
Nef Mediated CD8 Down-regulation_Reactome	0	0	0	0	0	4.52220739198767	0	0	4.90637405502622	2	TRUE	9.42858144701389
Deadenylation of mRNA_Reactome	4.68534948169687	0	0	0	0	0	0	0	4.60288766162583	2	TRUE	9.2882371433227
Longevity regulating pathway_KEGG	0	0	0	0	0	4.70792140017391	0	0	4.48576734022829	2	TRUE	9.1936887404022
Kit receptor signaling pathway_Wikipathways	0	0	0	0	0	4.51720419288127	0	0	4.63129716615868	2	TRUE	9.14850135903995
ERBB2 Activates PTK6 Signaling_Reactome	0	0	0	0	0	4.51621833963951	4.49800856285324	0	0	2	TRUE	9.01422690249275
Neurotransmitter receptors and postsynaptic signal transmission_Reactome	0	0	0	0	0	56.6326350621044	0	0	31.8130104799777	2	TRUE	88.4456455420821
EGFR1_NetPath	0	0	0	0	0	36.2606896813839	0	0	49.006017761404	2	TRUE	85.2667074427879
FoxO family signaling_PID	0	0	0	0	0	4.50243102825972	0	0	4.47251298474791	2	TRUE	8.97494401300763
Syndecan-2-mediated signaling events_PID	0	0	0	0	0	4.52970047659575	0	0	4.33119220087462	2	TRUE	8.86089267747038
Protein-protein interactions at synapses_Reactome	0	0	0	0	0	50.1787620594058	0	0	27.8301783329617	2	TRUE	78.0089403923676
Synaptic vesicle cycle_KEGG	0	0	0	0	0	42.7594243333345	0	0	30.7843762373461	2	TRUE	73.5438005706806
Calcium Regulation in the Cardiac Cell_Wikipathways	0	0	0	0	0	35.0698759985285	0	0	32.000570542654	2	TRUE	67.0704465411824
Axon guidance_KEGG	0	0	0	0	0	31.7428464890394	0	0	34.0247926342583	2	TRUE	65.7676391232977
Dopaminergic synapse_KEGG	0	0	0	0	0	44.7881340864761	0	0	19.9553707079263	2	TRUE	64.7435047944024
Calcium signaling pathway_KEGG	0	0	0	0	0	34.8254399322798	0	0	27.6055978477807	2	TRUE	62.4310377800606
Neurexins and neuroligins_Reactome	0	0	0	0	0	39.9547745162993	0	0	19.2590737668381	2	TRUE	59.2138482831375
L1CAM interactions_Reactome	0	0	0	0	0	26.7534189377492	0	0	32.2864429605436	2	TRUE	59.0398618982929
Synaptic Vesicle Pathway_Wikipathways	0	0	0	0	0	34.326751141129	0	0	24.4374797120965	2	TRUE	58.7642308532255
Trafficking of AMPA receptors_Reactome	0	0	0	0	0	32.7596868817692	0	0	24.891888010538	2	TRUE	57.6515748923072
Glutamate binding, activation of AMPA receptors and synaptic plasticity_Reactome	0	0	0	0	0	32.7596868817692	0	0	24.891888010538	2	TRUE	57.6515748923072
Long-term potentiation_KEGG	0	0	0	0	0	28.2843443040966	0	0	29.148594916343	2	TRUE	57.4329392204396
Beta-catenin independent WNT signaling_Reactome	0	0	0	0	0	26.9283585478348	0	0	30.448195363776	2	TRUE	57.3765539116108
Cardiac conduction_Reactome	0	0	0	0	0	32.1886071671842	0	0	24.0337707023122	2	TRUE	56.2223778694964
Muscle contraction_Reactome	0	0	0	0	0	30.9033893174879	0	0	24.4914439866159	2	TRUE	55.3948333041039
Signaling by Receptor Tyrosine Kinases_Reactome	0	0	0	0	0	20.4975708932235	0	0	30.8290221394468	2	TRUE	51.3265930326703
Adrenergic signaling in cardiomyocytes_KEGG	0	0	0	0	0	31.8766311915643	0	0	19.2624950683129	2	TRUE	51.1391262598772
Retrograde endocannabinoid signaling_KEGG	0	0	0	0	0	20.0443693464932	0	0	31.0351619875685	2	TRUE	51.0795313340617
Glutamatergic synapse_KEGG	0	0	0	0	0	32.0680795191074	0	0	18.6848089481862	2	TRUE	50.7528884672936
Activation of NMDA receptor and postsynaptic events_Reactome	0	0	0	0	0	31.6751660032253	0	0	18.0902377574033	2	TRUE	49.7654037606286
GPCR Dopamine D1like receptor_INOH	0	0	0	0	0	30.2722042007492	0	0	18.9433780331152	2	TRUE	49.2155822338644
Membrane Trafficking_Reactome	0	0	0	0	0	26.7614474747044	0	0	21.8423705223187	2	TRUE	48.6038179970231
Arrhythmogenic right ventricular cardiomyopathy (ARVC)_KEGG	0	0	0	0	0	17.0264965896946	0	0	31.0352545538919	2	TRUE	48.0617511435865
Brain-Derived Neurotrophic Factor (BDNF) signaling pathway_Wikipathways	0	0	0	0	0	25.9371056049054	0	0	21.7745045026607	2	TRUE	47.7116101075661
Hippo signaling pathway_KEGG	0	0	0	0	0	17.9165539793436	0	0	29.7508430298043	2	TRUE	47.6673970091478
Splicing factor NOVA regulated synaptic proteins_Wikipathways	0	0	0	0	0	27.3204724485341	0	0	19.6771088547552	2	TRUE	46.9975813032892
Arrhythmogenic Right Ventricular Cardiomyopathy_Wikipathways	0	0	0	0	0	17.3548373961392	0	0	29.242586125951	2	TRUE	46.5974235220903
Common Pathways Underlying Drug Addiction_Wikipathways	0	0	0	0	0	23.3897951880351	0	0	23.0379124561047	2	TRUE	46.4277076441397
Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways_Wikipathways	0	0	0	0	0	35.0933369323003	0	0	10.9724472858495	2	TRUE	46.0657842181498
Phase 0 - rapid depolarisation_Reactome	0	0	0	0	0	30.0949668289754	0	0	15.8822603968595	2	TRUE	45.9772272258349
Nicotine addiction_KEGG	0	0	0	0	0	24.5984928171914	0	0	19.3628383909345	2	TRUE	43.9613312081259
Potassium Channels_Reactome	0	0	0	0	0	26.4378360043995	0	0	17.3431331896667	2	TRUE	43.7809691940662
cAMP signaling pathway_KEGG	0	0	0	0	0	24.0714248829024	0	0	18.5455647675872	2	TRUE	42.6169896504896
Aldosterone synthesis and secretion_KEGG	0	0	0	0	0	24.1342702478935	0	0	17.9606343786628	2	TRUE	42.0949046265563
Cholinergic synapse_KEGG	0	0	0	0	0	30.0237183109443	0	0	11.2085673128132	2	TRUE	41.2322856237575
Proteoglycans in cancer_KEGG	0	0	0	0	0	17.9195078966452	0	0	23.2487810681289	2	TRUE	41.1682889647741
Post NMDA receptor activation events_Reactome	0	0	0	0	0	25.854089678646	0	0	15.2612239091799	2	TRUE	41.115313587826
N-cadherin signaling events_PID	0	0	0	0	0	19.3375904906649	0	0	21.1808090243674	2	TRUE	40.5183995150323
Circadian entrainment_KEGG	0	0	0	0	0	24.1342702478935	0	0	15.2396486824487	2	TRUE	39.3739189303422
Vesicle-mediated transport_Reactome	0	0	0	0	0	21.6341062587347	0	0	17.7181276303412	2	TRUE	39.3522338890759
Ion homeostasis_Reactome	0	0	0	0	0	19.1358974244683	0	0	19.3042842230373	2	TRUE	38.4401816475056
Voltage gated Potassium channels_Reactome	0	0	0	0	0	27.3929533532103	0	0	10.6559621810254	2	TRUE	38.0489155342356
EPH-Ephrin signaling_Reactome	0	0	0	0	0	14.3724788198642	0	0	23.36907035683	2	TRUE	37.7415491766943
Neurotoxicity of clostridium toxins_Reactome	0	0	0	0	0	18.395035938953	0	0	19.3225536235997	2	TRUE	37.7175895625527
Amphetamine addiction_KEGG	0	0	0	0	0	23.3534357178378	0	0	13.9260988002348	2	TRUE	37.2795345180726
Transferrin endocytosis and recycling_Reactome	0	0	0	0	0	20.2508337032173	0	0	16.8594557478115	2	TRUE	37.1102894510288
Opioid Signalling_Reactome	0	0	0	0	0	20.9080470475974	0	0	15.7516069300583	2	TRUE	36.6596539776557
Trafficking of GluR2-containing AMPA receptors_Reactome	0	0	0	0	0	17.6543244160699	0	0	18.8599111605032	2	TRUE	36.5142355765732
Wnt signaling pathway_KEGG	0	0	0	0	0	18.8488874388359	0	0	17.6347739003382	2	TRUE	36.4836613391741
EPO signaling_INOH	0	0	0	0	0	19.6206657051296	0	0	16.1541541156861	2	TRUE	35.7748198208156
IL-7 signaling_INOH	0	0	0	0	0	20.0091309920637	0	0	15.4960782302463	2	TRUE	35.50520922231
VEGF_INOH	0	0	0	0	0	19.9317907792828	0	0	15.513747558217	2	TRUE	35.4455383374998
ErbB Signaling Pathway_Wikipathways	0	0	0	0	0	21.870610321633	0	0	13.2119600287222	2	TRUE	35.0825703503552
Ca2+ pathway_Reactome	0	0	0	0	0	16.4721890734255	0	0	18.5152060477521	2	TRUE	34.9873951211775
Wnt Signaling_Wikipathways	0	0	0	0	0	19.6149902819918	0	0	14.8994588955067	2	TRUE	34.5144491774985
Myometrial Relaxation and Contraction Pathways_Wikipathways	0	0	0	0	0	17.1196371983484	0	0	17.2062923478995	2	TRUE	34.3259295462479
Pathways in cancer_KEGG	0	0	0	0	0	20.0541924298256	0	0	13.2557282785718	2	TRUE	33.3099207083974
Gap junction_KEGG	0	0	0	0	0	18.1446066433553	0	0	15.0269800473305	2	TRUE	33.1715866906858
Role of Calcineurin-dependent NFAT signaling in lymphocytes_PID	0	0	0	0	0	19.7077638007017	0	0	13.0542226922493	2	TRUE	32.761986492951
Vibrio cholerae infection_KEGG	0	0	0	0	0	20.8970614593221	0	0	11.8590303630726	2	TRUE	32.7560918223947
Signaling by ROBO receptors_Reactome	0	0	0	0	0	17.6698698086946	0	0	15.0332849644751	2	TRUE	32.7031547731698
Human papillomavirus infection_KEGG	0	0	0	0	0	21.30990867014	0	0	11.3497560176093	2	TRUE	32.6596646877493
Integration of energy metabolism_Reactome	0	0	0	0	0	16.3135344997673	0	0	16.1851182968725	2	TRUE	32.4986527966398
cGMP-PKG signaling pathway_KEGG	0	0	0	0	0	19.5002684352735	0	0	12.5035794740434	2	TRUE	32.0038479093169
CREB phosphorylation through the activation of Ras_Reactome	0	0	0	0	0	20.163178176596	0	0	11.7452361559971	2	TRUE	31.908414332593
Antiarrhythmic Pathway, Pharmacodynamics_PharmGKB	0	0	0	0	0	22.57784724723	0	0	9.29221349744656	2	TRUE	31.8700607446765
GABAergic synapse_KEGG	0	0	0	0	0	14.0018998248303	0	0	17.8467204865798	2	TRUE	31.8486203114101
CLEC7A (Dectin-1) induces NFAT activation_Reactome	0	0	0	0	0	15.3578518668127	0	0	16.255098552219	2	TRUE	31.6129504190317
GPCR GroupI metabotropic glutamate receptor_INOH	0	0	0	0	0	16.2307370792149	0	0	15.2403477206782	2	TRUE	31.4710847998931
Iron uptake and transport_Reactome	0	0	0	0	0	14.7265084279966	0	0	16.7334819553756	2	TRUE	31.4599903833722
Gastric acid secretion_KEGG	0	0	0	0	0	13.8402883522615	0	0	17.5833854908681	2	TRUE	31.4236738431296
Adherens junction_KEGG	0	0	0	0	0	10.1274846878066	0	0	21.1831429116586	2	TRUE	31.3106275994652
ErbB signaling pathway_KEGG	0	0	0	0	0	19.9398717175597	0	0	11.2981871598228	2	TRUE	31.2380588773825
Alzheimer disease_KEGG	0	0	0	0	0	14.4348049809425	0	0	16.8023534919612	2	TRUE	31.2371584729037
Presynaptic depolarization and calcium channel opening_Reactome	0	0	0	0	0	18.8066581840452	0	0	12.3351422170938	2	TRUE	31.141800401139
Regulation of actin cytoskeleton_KEGG	0	0	0	0	0	14.1211088323853	0	0	16.9591750344148	2	TRUE	31.0802838668001
GABA receptor Signaling_Wikipathways	0	0	0	0	0	13.451921659216	0	0	17.3183978870059	2	TRUE	30.7703195462219
Neurotransmitter release cycle_Reactome	0	0	0	0	0	16.1617931479633	0	0	14.5053813103612	2	TRUE	30.6671744583245
Sphingolipid signaling pathway_KEGG	0	0	0	0	0	23.0887894691685	0	0	7.57828080801174	2	TRUE	30.6670702771802
DARPP-32 events_Reactome	0	0	0	0	0	15.9610203209047	0	0	14.6866044483067	2	TRUE	30.6476247692114
Glutamate Neurotransmitter Release Cycle_Reactome	0	0	0	0	0	15.9610203209047	0	0	14.6866044483067	2	TRUE	30.6476247692114
Serotonin Neurotransmitter Release Cycle_Reactome	0	0	0	0	0	19.2402901800221	0	0	11.3896916192064	2	TRUE	30.6299817992285
G Protein Signaling Pathways_Wikipathways	0	0	0	0	0	17.3637271465759	0	0	13.2119600287222	2	TRUE	30.5756871752981
Signaling by Hippo_Reactome	0	0	0	0	0	13.11666121836	0	0	17.0974470807664	2	TRUE	30.2141082991264
Morphine addiction_KEGG	0	0	0	0	0	13.8593281740837	0	0	16.2897968558802	2	TRUE	30.149125029964
MAPK family signaling cascades_Reactome	0	0	0	0	0	14.3392773003602	0	0	15.6641961531789	2	TRUE	30.0034734535391
Wnt Signaling Pathway and Pluripotency_Wikipathways	0	0	0	0	0	13.0668520090126	0	0	16.8590205854608	2	TRUE	29.9258725944734
RAF/MAP kinase cascade_Reactome	0	0	0	0	0	14.8075009537689	0	0	14.6446457556081	2	TRUE	29.452146709377
Focal Adhesion_Wikipathways	0	0	0	0	0	12.4833950580433	0	0	16.8700735960941	2	TRUE	29.3534686541374
Hepatocellular carcinoma_KEGG	0	0	0	0	0	13.5234447250217	0	0	15.7656935132062	2	TRUE	29.2891382382279
Dopamine Neurotransmitter Release Cycle_Reactome	0	0	0	0	0	20.2996188315538	0	0	8.97694959044339	2	TRUE	29.2765684219972
RAC1-PAK1-p38-MMP2 Pathway_Wikipathways	0	0	0	0	0	17.9915499387541	0	0	11.1648288658932	2	TRUE	29.1563788046473
