pathway	pvalue	fdr
Ligand-receptor interactions_Reactome	0.00374673528054684	0.390852612220682
InlA-mediated entry of Listeria monocytogenes into host cells_Reactome	0.00374673528054684	0.390852612220682
Platelet degranulation _Reactome	0.00437738153844726	0.446492916921621
Human Complement System_Wikipathways	0.00476027485909595	0.474992643548922
Complement and Coagulation Cascades_Wikipathways	0.00525415121932559	0.503385186432226
Response to elevated platelet cytosolic Ca2+_Reactome	0.00526415881236315	0.503385186432226
Dengue-2 Interactions with Complement and Coagulation Cascades_Wikipathways	0.00557831932884352	0.522540524885546
Crosslinking of collagen fibrils_Reactome	0.00592830923494278	0.52530588227295
FBXL7 down-regulates AURKA during mitotic entry and in early mitosis_Reactome	0.00592830923494278	0.52530588227295
Interleukin-4 and Interleukin-13 signaling_Wikipathways	0.00595117775124039	0.52530588227295
Fluid shear stress and atherosclerosis - Homo sapiens (human)_KEGG	0.00627615135675474	0.531252753157033
White fat cell differentiation_Wikipathways	0.00633737828629626	0.531252753157033
Vitamin D Receptor Pathway_Wikipathways	0.00640077999524666	0.531252753157033
AGE-RAGE signaling pathway in diabetic complications - Homo sapiens (human)_KEGG	0.00648151507119692	0.531252753157033
Neural Crest Differentiation_Wikipathways	0.00704418591158514	0.567242339196067
Apoptotic cleavage of cell adhesion  proteins_Reactome	0.00718948076190943	0.568960632709729
Tryptophan degradation_INOH	0.00780607650070666	0.577893271097716
Photodynamic therapy-induced NF-kB survival signaling_Wikipathways	0.00814872143755977	0.577893271097716
Smooth Muscle Contraction_Reactome	0.00814872143755977	0.577893271097716
Collagen degradation_Reactome	0.00814872143755977	0.577893271097716
Integrin cell surface interactions_Reactome	0.00822650605880057	0.577893271097716
Degradation of the extracellular matrix_Reactome	0.0082704129904685	0.577893271097716
lectin induced complement pathway_BioCarta	0.00856048746494477	0.577893271097716
Degradation of DVL_Reactome	0.00856048746494477	0.577893271097716
terminal <i>O</i>-glycans residues modification_HumanCyc	0.00856048746494477	0.577893271097716
JAK-STAT_Wikipathways	0.00859868297819101	0.577893271097716
SLC-mediated transmembrane transport_Reactome	0.00871508711596232	0.577893271097716
IGF signaling_INOH	0.00881318714092378	0.577893271097716
Post-translational protein phosphorylation_Reactome	0.00928209662835672	0.599725480594124
Focal Adhesion_Wikipathways	0.00940745851912351	0.599725480594124
Taxane Pathway, Pharmacokinetics_PharmGKB	0.0100385760955194	0.610112281649715
Transcriptional cascade regulating adipogenesis_Wikipathways	0.0100385760955194	0.610112281649715
Striated Muscle Contraction Pathway_Wikipathways	0.0102349990603547	0.610112281649715
Apoptotic cleavage of cellular proteins_Reactome	0.0102349990603547	0.610112281649715
Hedgehog ,on, state_Reactome	0.0102349990603547	0.610112281649715
Melanoma - Homo sapiens (human)_KEGG	0.0105513148844437	0.620904298969187
Warfarin Pathway, Pharmacodynamics_PharmGKB	0.0116210425837362	0.649205369541738
Nicotinate and Nicotinamide Metabolism_SMPDB	0.0116210425837362	0.649205369541738
Bile salt and organic anion SLC transporters_Reactome	0.0116210425837362	0.649205369541738
classical complement pathway_BioCarta	0.0116210425837362	0.649205369541738
Bladder Cancer_Wikipathways	0.0117823897918315	0.649205369541738
Vatalanib Action Pathway_SMPDB	0.0118808825798488	0.649205369541738
Epithelial to mesenchymal transition in colorectal cancer_Wikipathways	0.0121094988851473	0.653912939797954
Bladder cancer - Homo sapiens (human)_KEGG	0.0126037431183524	0.664956102451006
Binding and Uptake of Ligands by Scavenger Receptors_Reactome	0.0126037431183524	0.664956102451006
Metabolism of carbohydrates_Reactome	0.0132824303626046	0.671110016846976
H19 action Rb-E2F1 signaling and CDK-Beta-catenin activity_Wikipathways	0.0133052312708224	0.671110016846976
N-Glycan antennae elongation_Reactome	0.0133052312708224	0.671110016846976
Organic cation/anion/zwitterion transport_Reactome	0.0133052312708224	0.671110016846976
FOXM1 transcription factor network_PID	0.0134571262239042	0.671393580083916
Hedgehog Signaling Pathway_Wikipathways	0.01434270604732	0.698749285165271
Vitamin A and Carotenoid Metabolism_Wikipathways	0.01434270604732	0.698749285165271
Complement and coagulation cascades - Homo sapiens (human)_KEGG	0.0144621311744446	0.698749285165271
Regulation of nuclear beta catenin signaling and target gene transcription_PID	0.0150861215190754	0.721305185130793
Signaling by Retinoic Acid_Reactome	0.0162110221741635	0.759271344687862
Intra-Golgi traffic_Reactome	0.0162110221741635	0.759271344687862
NOTCH1 regulation of human endothelial cell calcification_Wikipathways	0.0169683901346986	0.778849107182666
Acyl chain remodelling of PI_Reactome	0.0169683901346986	0.778849107182666
Tryptophan metabolism_Wikipathways	0.0171939926888086	0.781390360808232
Hedgehog signaling pathway - Homo sapiens (human)_KEGG	0.0182096294897012	0.811477663667267
Heart Development_Wikipathways	0.0182096294897012	0.811477663667267
er associated degradation (erad) pathway_BioCarta	0.018942284296606	0.82023665020209
SCF(Skp2)-mediated degradation of p27/p21_Reactome	0.018942284296606	0.82023665020209
Propanoate metabolism_EHMN	0.018942284296606	0.82023665020209
PI3K-Akt Signaling Pathway_Wikipathways	0.0199227721213352	0.854631065765687
Na+/Cl- dependent neurotransmitter transporters_Reactome	0.0210077471689982	0.884638160602768
Listeria monocytogenes entry into host cells_Reactome	0.0210077471689982	0.884638160602768
Statin Pathway - Generalized, Pharmacokinetics_PharmGKB	0.0231623540196107	0.95744496326317
Hyaluronan biosynthesis and export_Reactome	0.0236215155620799	0.95744496326317
GDP-L-fucose biosynthesis I (from GDP-D-mannose)_HumanCyc	0.0236215155620799	0.95744496326317
Transport of connexons to the plasma membrane_Reactome	0.0236215155620799	0.95744496326317
Apoptotic execution phase_Reactome	0.0237796788261441	0.95744496326317
Cardiac Progenitor Differentiation_Wikipathways	0.0249922017114502	0.983898823301063
Posttranslational regulation of adherens junction stability and dissassembly_PID	0.0249922017114502	0.983898823301063
PI3K-Akt signaling pathway - Homo sapiens (human)_KEGG	0.025079773927282	0.983898823301063
Tamoxifen metabolism_Wikipathways	0.0254037241502611	0.98816181228558
Signaling by PDGF_Reactome	0.0262375351077416	1
Ectoderm Differentiation_Wikipathways	0.0271598921816447	1
Antiarrhythmic Pathway, Pharmacodynamics_PharmGKB	0.0275156375060313	1
Other types of O-glycan biosynthesis - Homo sapiens (human)_KEGG	0.0277295202039612	1
RA biosynthesis pathway_Reactome	0.0301374474821086	1
Signaling events mediated by the Hedgehog family_PID	0.0301374474821086	1
Proteoglycans in cancer - Homo sapiens (human)_KEGG	0.0328418293030175	1
Nuclear Receptors Meta-Pathway_Wikipathways	0.0349723949807041	1
Differentiation of white and brown adipocyte_Wikipathways	0.0351907261818606	1
Propanoate metabolism_INOH	0.0351907261818606	1
Amodiaquine Pathway, Pharmacokinetics_PharmGKB	0.0352235438493825	1
Tacrolimus/Cyclosporine Pathway, Pharmacokinetics_PharmGKB	0.0352235438493825	1
Bevacizumab Action Pathway_SMPDB	0.0352235438493825	1
Beta oxidation of myristoyl-CoA to lauroyl-CoA_Reactome	0.0352235438493825	1
Lactose synthesis_Reactome	0.0352235438493825	1
Vitamins B6 activation to pyridoxal phosphate_Reactome	0.0352235438493825	1
AlphaE beta7 integrin cell surface interactions_PID	0.0352235438493825	1
Transport of connexins along the secretory pathway_Reactome	0.0352235438493825	1
Oligomerization of connexins into connexons_Reactome	0.0352235438493825	1
Gap junction assembly_Reactome	0.0352235438493825	1
Mesodermal Commitment Pathway_Wikipathways	0.0357998818972607	1
Hippo signaling pathway - Homo sapiens (human)_KEGG	0.0366603017390585	1
A tetrasaccharide linker sequence is required for GAG synthesis_Reactome	0.0378316954912575	1
N-glycan antennae elongation in the medial/trans-Golgi_Reactome	0.0378316954912575	1
MECP2 and Associated Rett Syndrome_Wikipathways	0.038910718033928	1
Lung fibrosis_Wikipathways	0.0404796955441733	1
Acyl chain remodelling of PC_Reactome	0.0433316399127012	1
Regulation of RUNX2 expression and activity_Reactome	0.0433316399127012	1
Leukocyte transendothelial migration - Homo sapiens (human)_KEGG	0.0444336263152216	1
Retinol metabolism - Homo sapiens (human)_KEGG	0.0453758340906476	1
Cyclin E associated events during G1/S transition _Reactome	0.0461864711789668	1
Cyclin A:Cdk2-associated events at S phase entry_Reactome	0.0461864711789668	1
Artemether Metabolism Pathway_SMPDB	0.0466885931778177	1
Teniposide Action Pathway_SMPDB	0.0466885931778177	1
Teniposide Metabolism Pathway_SMPDB	0.0466885931778177	1
Vitamin B6 metabolism_INOH	0.0466885931778177	1
Neurophilin interactions with VEGF and VEGFR_Reactome	0.0466885931778177	1
Reuptake of GABA_Reactome	0.0466885931778177	1
propionyl-CoA degradation_HumanCyc	0.0466885931778177	1
Alternative complement activation_Reactome	0.0466885931778177	1
Nicotinate and nicotinamide metabolism - Homo sapiens (human)_KEGG	0.0491085099115835	1
3-Methylglutaconic Aciduria Type I_SMPDB	0.0491085099115835	1
Valine, Leucine and Isoleucine Degradation_SMPDB	0.0491085099115835	1
2-Methyl-3-Hydroxybutryl CoA Dehydrogenase Deficiency_SMPDB	0.0491085099115835	1
Isovaleric Aciduria_SMPDB	0.0491085099115835	1
3-Methylcrotonyl Coa Carboxylase Deficiency Type I_SMPDB	0.0491085099115835	1
Propionic Acidemia_SMPDB	0.0491085099115835	1
Maple Syrup Urine Disease_SMPDB	0.0491085099115835	1
3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency_SMPDB	0.0491085099115835	1
Isobutyryl-coa dehydrogenase deficiency_SMPDB	0.0491085099115835	1
3-hydroxyisobutyric aciduria_SMPDB	0.0491085099115835	1
3-hydroxyisobutyric acid dehydrogenase deficiency_SMPDB	0.0491085099115835	1
Isovaleric acidemia_SMPDB	0.0491085099115835	1
Methylmalonate Semialdehyde Dehydrogenase Deficiency_SMPDB	0.0491085099115835	1
Methylmalonic Aciduria_SMPDB	0.0491085099115835	1
3-Methylglutaconic Aciduria Type IV_SMPDB	0.0491085099115835	1
3-Methylglutaconic Aciduria Type III_SMPDB	0.0491085099115835	1
Beta-Ketothiolase Deficiency_SMPDB	0.0491085099115835	1
Amine compound SLC transporters_Reactome	0.0491085099115835	1
Acyl chain remodelling of PE_Reactome	0.0491085099115835	1
Transport to the Golgi and subsequent modification_Reactome	0.0500488485621976	1
Matrix Metalloproteinases_Wikipathways	0.052095779262366	1
Synthesis of active ubiquitin: roles of E1 and E2 enzymes_Reactome	0.052095779262366	1
Activation of Matrix Metalloproteinases_Reactome	0.052095779262366	1
Transport of small molecules_Reactome	0.0526559077762871	1
Asparagine N-linked glycosylation_Reactome	0.0537132094628368	1
Linoleate metabolism_EHMN	0.0541552658808485	1
Oncogene Induced Senescence_Reactome	0.0551463393274372	1
Bacterial invasion of epithelial cells - Homo sapiens (human)_KEGG	0.0578787424750948	1
Sulindac Metabolic Pathway_Wikipathways	0.0580182703386928	1
miR-517 relationship with ARCN1 and USP1_Wikipathways	0.0580182703386928	1
Organic anion transport_Reactome	0.0580182703386928	1
Propionyl-CoA catabolism_Reactome	0.0580182703386928	1
Abacavir transmembrane transport_Reactome	0.0580182703386928	1
Sodium-coupled sulphate, di- and tri-carboxylate transporters_Reactome	0.0580182703386928	1
Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA_Reactome	0.0580182703386928	1
Cross-presentation of soluble exogenous antigens (endosomes)_Reactome	0.0580182703386928	1
citrulline-nitric oxide cycle_HumanCyc	0.0580182703386928	1
Polythiazide Action Pathway_SMPDB	0.0582582865578526	1
Methyclothiazide Action Pathway_SMPDB	0.0582582865578526	1
Bumetanide Action Pathway_SMPDB	0.0582582865578526	1
Spironolactone Action Pathway_SMPDB	0.0582582865578526	1
Eplerenone Action Pathway_SMPDB	0.0582582865578526	1
Triamterene Action Pathway_SMPDB	0.0582582865578526	1
Amiloride Action Pathway_SMPDB	0.0582582865578526	1
Ethacrynic Acid Action Pathway_SMPDB	0.0582582865578526	1
Quinethazone Action Pathway_SMPDB	0.0582582865578526	1
Bendroflumethiazide Action Pathway_SMPDB	0.0582582865578526	1
Chlorthalidone Action Pathway_SMPDB	0.0582582865578526	1
Trichlormethiazide Action Pathway_SMPDB	0.0582582865578526	1
Iminoglycinuria_SMPDB	0.0582582865578526	1
Lysinuric Protein Intolerance_SMPDB	0.0582582865578526	1
Blue diaper syndrome_SMPDB	0.0582582865578526	1
Lysinuric protein intolerance (LPI)_SMPDB	0.0582582865578526	1
Cystinuria_SMPDB	0.0582582865578526	1
Indapamide Action Pathway_SMPDB	0.0582582865578526	1
Furosemide Action Pathway_SMPDB	0.0582582865578526	1
Torsemide Action Pathway_SMPDB	0.0582582865578526	1
Hartnup Disorder_SMPDB	0.0582582865578526	1
Glucose Transporter Defect (SGLT2)_SMPDB	0.0582582865578526	1
Kidney Function_SMPDB	0.0582582865578526	1
Glucose Transporter Defect (SGLT2)_SMPDB	0.0582582865578526	1
Metolazone Action Pathway_SMPDB	0.0582582865578526	1
Hydrochlorothiazide Action Pathway_SMPDB	0.0582582865578526	1
Cyclothiazide Action Pathway_SMPDB	0.0582582865578526	1
Hydroflumethiazide Action Pathway_SMPDB	0.0582582865578526	1
Chlorothiazide Action Pathway_SMPDB	0.0582582865578526	1
Mammary gland development pathway - Pregnancy and lactation (Stage 3 of 4)_Wikipathways	0.0582582865578526	1
Inflammatory Response Pathway_Wikipathways	0.0582582865578526	1
Negative regulation of FGFR1 signaling_Reactome	0.0582582865578526	1
Transcriptional regulation by RUNX2_Reactome	0.0597849002937603	1
Negative regulation of FGFR2 signaling_Reactome	0.0614297531788683	1
BMP signaling Dro_INOH	0.0614297531788683	1
Cell death signalling via NRAGE, NRIF and NADE_Reactome	0.0617203348012858	1
Role of Osx and miRNAs in tooth development_Wikipathways	0.0646589066177355	1
HIF-2-alpha transcription factor network_PID	0.0646589066177355	1
Regulation of Complement cascade_Reactome	0.0646999928248099	1
E-cadherin signaling in the nascent adherens junction_PID	0.0679439489399009	1
Artemisinin and Derivatives Pathway, Pharmacokinetics_PharmGKB	0.0692141633978766	1
Vitamin B6 metabolism - Homo sapiens (human)_KEGG	0.0692141633978766	1
Fluoxetine Pathway, Pharmacokinetics_PharmGKB	0.0692141633978766	1
Nevirapine Pathway, Pharmacokinetics_PharmGKB	0.0692141633978766	1
Fluoxetine Metabolism Pathway_SMPDB	0.0692141633978766	1
Nicotine Metabolism_Wikipathways	0.0692141633978766	1
Signaling by NOTCH4_Wikipathways	0.0692141633978766	1
Robo4 and VEGF Signaling Pathways Crosstalk_Wikipathways	0.0692141633978766	1
Transport and synthesis of PAPS_Reactome	0.0692141633978766	1
PTK6 Regulates Cell Cycle_Reactome	0.0692141633978766	1
GDP-fucose biosynthesis_Reactome	0.0692141633978766	1
urea cycle_HumanCyc	0.0692141633978766	1
FGFR1b ligand binding and activation_Reactome	0.0692141633978766	1
Relaxin signaling pathway - Homo sapiens (human)_KEGG	0.0692472488554904	1
Adipogenesis_Wikipathways	0.0707988526211337	1
Thyroid cancer - Homo sapiens (human)_KEGG	0.0712831162934966	1
Vitamin A Deficiency_SMPDB	0.0712831162934966	1
Retinol Metabolism_SMPDB	0.0712831162934966	1
Mitochondrial Fatty Acid Beta-Oxidation_Reactome	0.0712831162934966	1
NCAM1 interactions_Reactome	0.0712831162934966	1
Signaling by Hedgehog_Reactome	0.0718273382973897	1
ECM-receptor interaction - Homo sapiens (human)_KEGG	0.0739327616733246	1
MAPK6/MAPK4 signaling_Reactome	0.0781169378249801	1
O-glycosylation of TSR domain-containing proteins_Reactome	0.0781169378249801	1
Methotrexate Pathway (Brain Cell), Pharmacokinetics_PharmGKB	0.0802778419125973	1
Tenofovir/Adefovir Pathway, Pharmacodynamics_PharmGKB	0.0802778419125973	1
Cyclophosphamide Pathway, Pharmacokinetics_PharmGKB	0.0802778419125973	1
Ifosfamide Pathway, Pharmacokinetics_PharmGKB	0.0802778419125973	1
Metabolism of Spingolipids in ER and Golgi apparatus_Wikipathways	0.0802778419125973	1
PDGF receptor signaling network_PID	0.0802778419125973	1
Autodegradation of the E3 ubiquitin ligase COP1_Reactome	0.0802778419125973	1
Glycerophospholipid catabolism_Reactome	0.0802778419125973	1
Vpu mediated degradation of CD4_Reactome	0.0802778419125973	1
Apelin signaling pathway - Homo sapiens (human)_KEGG	0.0804794429375826	1
Tryptophan metabolism - Homo sapiens (human)_KEGG	0.0816082298267247	1
Complement cascade_Reactome	0.0821538984328588	1
Muscle contraction_Reactome	0.0830153035769392	1
BMP receptor signaling_PID	0.0851469214527951	1
TGF-Core_Signalink	0.0887314112142396	1
Stabilization and expansion of the E-cadherin adherens junction_PID	0.0887314112142396	1
Pre-NOTCH Expression and Processing_Reactome	0.0887314112142396	1
actions of nitric oxide in the heart_BioCarta	0.0887314112142396	1
Platelet activation, signaling and aggregation_Reactome	0.0898624812948195	1
Gefitinib Pathway, Pharmacokinetics_PharmGKB	0.0912108571457476	1
Tenofovir/Adefovir Pathway, Pharmacokinetics_PharmGKB	0.0912108571457476	1
Citalopram Metabolism Pathway_SMPDB	0.0912108571457476	1
Carbamazepine Metabolism Pathway_SMPDB	0.0912108571457476	1
Ifosfamide Action Pathway_SMPDB	0.0912108571457476	1
Mitochondrial Beta-Oxidation of Short Chain Saturated Fatty Acids_SMPDB	0.0912108571457476	1
Nevirapine Metabolism Pathway_SMPDB	0.0912108571457476	1
Short-chain 3-hydroxyacyl-CoA dehydrogenase deficiency (SCHAD)_SMPDB	0.0912108571457476	1
Ifosfamide Metabolism Pathway_SMPDB	0.0912108571457476	1
Effects of Nitric Oxide_Wikipathways	0.0912108571457476	1
Glial Cell Differentiation_Wikipathways	0.0912108571457476	1
Nifedipine Activity_Wikipathways	0.0912108571457476	1
Dual hijack model of Vif in HIV infection_Wikipathways	0.0912108571457476	1
MAPK6-MAPK4 signaling_Wikipathways	0.0912108571457476	1
ceramide <i>de novo</i> biosynthesis_HumanCyc	0.0912108571457476	1
RUNX3 regulates WNT signaling_Reactome	0.0912108571457476	1
a4b7 Integrin signaling_PID	0.0912108571457476	1
Ubiquitin Mediated Degradation of Phosphorylated Cdc25A_Reactome	0.0912108571457476	1
p53-Independent DNA Damage Response_Reactome	0.0912108571457476	1
p53-Independent G1/S DNA damage checkpoint_Reactome	0.0912108571457476	1
Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET)_Reactome	0.0912108571457476	1
inhibition of matrix metalloproteinases_BioCarta	0.0912108571457476	1
Downregulation of ERBB4 signaling_Reactome	0.0912108571457476	1
VEGF ligand-receptor interactions_Reactome	0.0912108571457476	1
2-oxobutanoate degradation_HumanCyc	0.0912108571457476	1
VEGF binds to VEGFR leading to receptor dimerization_Reactome	0.0912108571457476	1
Terminal pathway of complement_Reactome	0.0912108571457476	1
RUNX1 regulates transcription of genes involved in differentiation of keratinocytes_Reactome	0.0912108571457476	1
Allograft Rejection_Wikipathways	0.0940750931380197	1
Prostaglandin Synthesis and Regulation_Wikipathways	0.0960315332735571	1
Beta3 integrin cell surface interactions_PID	0.0960315332735571	1
Cyclin D associated events in G1_Reactome	0.0960315332735571	1
G1 Phase_Reactome	0.0960315332735571	1
Rap1 signaling pathway - Homo sapiens (human)_KEGG	0.0990907384018417	1
Integrin-linked kinase signaling_PID	0.0997441151851567	1
RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function_Wikipathways	0.102014742277719	1
Pravastatin Pathway, Pharmacokinetics_PharmGKB	0.102014742277719	1
Clopidogrel Pathway, Pharmacokinetics_PharmGKB	0.102014742277719	1
Erlotinib Pathway, Pharmacokinetics_PharmGKB	0.102014742277719	1
Clopidogrel Metabolism Pathway_SMPDB	0.102014742277719	1
Nicotine Metabolism Pathway_SMPDB	0.102014742277719	1
Clopidogrel Action Pathway_SMPDB	0.102014742277719	1
Threonine and 2-Oxobutanoate Degradation_SMPDB	0.102014742277719	1
Benzo(a)pyrene metabolism_Wikipathways	0.102014742277719	1
Methylation Pathways_Wikipathways	0.102014742277719	1
glutathione redox reactions I_HumanCyc	0.102014742277719	1
Regulation of PTEN localization_Reactome	0.102014742277719	1
Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE)_Reactome	0.102014742277719	1
Sodium/Proton exchangers_Reactome	0.102014742277719	1
btg family proteins and cell cycle regulation_BioCarta	0.102014742277719	1
reversal of insulin resistance by leptin_BioCarta	0.102014742277719	1
PTK6 Regulates RTKs and Their Effectors AKT1 and DOK1_Reactome	0.102014742277719	1
Prostanoid ligand receptors_Reactome	0.102014742277719	1
C20 prostanoid biosynthesis_HumanCyc	0.102014742277719	1
Multifunctional anion exchangers_Reactome	0.102014742277719	1
SHC-related events triggered by IGF1R_Reactome	0.102014742277719	1
retinoate biosynthesis I_HumanCyc	0.102014742277719	1
miR-targeted genes in epithelium - TarBase_Wikipathways	0.102200936123503	1
Regulation of Microtubule Cytoskeleton_Wikipathways	0.103496393480445	1
Regulation of RhoA activity_PID	0.103496393480445	1
Amoebiasis - Homo sapiens (human)_KEGG	0.103678545086094	1
p75 NTR receptor-mediated signalling_Reactome	0.10613821821767	1
Ciliary landscape_Wikipathways	0.110081207179299	1
Valine, leucine and isoleucine degradation - Homo sapiens (human)_KEGG	0.111114260369563	1
Differentiation Pathway_Wikipathways	0.111114260369563	1
Vinka Alkaloid Pathway, Pharmacokinetics_PharmGKB	0.112691012615805	1
Nicotine Pathway, Pharmacokinetics_PharmGKB	0.112691012615805	1
Tamoxifen Action Pathway_SMPDB	0.112691012615805	1
Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids_SMPDB	0.112691012615805	1
Tamoxifen Metabolism Pathway_SMPDB	0.112691012615805	1
Mammary gland development pathway - Involution (Stage 4 of 4)_Wikipathways	0.112691012615805	1
EV release from cardiac cells and their functional effects_Wikipathways	0.112691012615805	1
Leptin and adiponectin_Wikipathways	0.112691012615805	1
FGFR2b ligand binding and activation_Reactome	0.112691012615805	1
Interaction With The Zona Pellucida_Reactome	0.112691012615805	1
RUNX3 regulates p14-ARF_Reactome	0.112691012615805	1
VEGF and VEGFR signaling network_PID	0.112691012615805	1
Gamma-carboxylation of protein precursors_Reactome	0.112691012615805	1
Removal of aminoterminal propeptides from gamma-carboxylated proteins_Reactome	0.112691012615805	1
alternative complement pathway_BioCarta	0.112691012615805	1
Abacavir transport and metabolism_Reactome	0.112691012615805	1
Calcitonin-like ligand receptors_Reactome	0.112691012615805	1
Organic cation transport_Reactome	0.112691012615805	1
Metabolism of ingested SeMet, Sec, MeSec into H2Se_Reactome	0.112691012615805	1
Growth hormone signaling_INOH	0.112691012615805	1
Vif-mediated degradation of APOBEC3G_Reactome	0.112691012615805	1
SCF-beta-TrCP mediated degradation of Emi1_Reactome	0.112691012615805	1
nicotine degradation III_HumanCyc	0.112691012615805	1
Degradation of AXIN_Reactome	0.112691012615805	1
Urea cycle_Reactome	0.112691012615805	1
Myometrial Relaxation and Contraction Pathways_Wikipathways	0.113162073519878	1
Arachidonic acid metabolism_EHMN	0.113652988035571	1
Ovarian steroidogenesis - Homo sapiens (human)_KEGG	0.114977030290648	1
Platelet Aggregation Inhibitor Pathway, Pharmacodynamics_PharmGKB	0.114977030290648	1
IRS-related events triggered by IGF1R_Reactome	0.114977030290648	1
Ibuprofen Action Pathway_SMPDB	0.118873858327616	1
Photodynamic therapy-induced AP-1 survival signaling._Wikipathways	0.118873858327616	1
Chondroitin sulfate/dermatan sulfate metabolism_Reactome	0.118873858327616	1
JAK STAT MolecularVariation 2_INOH	0.118873858327616	1
IGF1R signaling cascade_Reactome	0.118873858327616	1
Signaling by FGFR1_Reactome	0.118873858327616	1
Stimuli-sensing channels_Reactome	0.121364207015652	1
Transcriptional regulation by RUNX3_Reactome	0.122803403834383	1
Xenobiotics metabolism_EHMN	0.122803403834383	1
Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)_Reactome	0.122803403834383	1
Imatinib Pathway, Pharmacokinetics/Pharmacodynamics_PharmGKB	0.123241165801195	1
Benzodiazepine Pathway, Pharmacokinetics_PharmGKB	0.123241165801195	1
Uricosurics Pathway, Pharmacodynamics_PharmGKB	0.123241165801195	1
GLUT-1 deficiency syndrome_SMPDB	0.123241165801195	1
Congenital disorder of glycosylation CDG-IId_SMPDB	0.123241165801195	1
Lactose Synthesis_SMPDB	0.123241165801195	1
