from	to
NF-kB p50/RelB|NFKB1|NF-kB p50/c-Rel|NFKB1|NF-kB p50/p50|NFKB1|NF-kB p50/p65|NFKB1|NF-kB1 (p105)|NFKB1|NF-kB1 (p50)|NFKB1|NF-kB|NFKB1|NF-kB p52/RelB|NFKB2|NF-kB p52/p52|NFKB2|NF-kB p52/p65|NFKB2|NF-kB2 (p100)|NFKB2|NF-kB2 (p52)|NFKB2|NF-kB|NFKB2|NF-kB p50/c-Rel|REL|NF-kB p65/c-Rel|REL|NF-kB|REL|c-Rel (NF-kB subunit)|REL|NF-kB p50/p65|RELA|NF-kB p52/p65|RELA|NF-kB p65/c-Rel|RELA|NF-kB p65/p65|RELA|NF-kB|RELA|RelA (p65 NF-kB subunit)|RELA|NF-kB p50/RelB|RELB|NF-kB p52/RelB|RELB|NF-kB|RELB|RelB (NF-kB subunit)|RELB	SLC1A2/EAAT2|SLC1A2
Caspase-3|CASP3	SLC1A2/EAAT2|SLC1A2
PML/RARalpha fusion protein|PML|PML|PLZF/RARalpha fusion protein|RARA|PML/RARalpha fusion protein|RARA|RAR-alpha/RXR-alpha|RARA|RAR-alpha/RXR-beta|RARA|RAR-alpha/TR-alpha|RARA|RAR|RARA|RARalpha|RARA	SLC1A2/EAAT2|SLC1A2
UBB|Ubiquitin|UBB|UBC|Ubiquitin|UBC	SLC1A2/EAAT2|SLC1A2
AATC|GOT1	SLC1A2/EAAT2|SLC1A2
SLC1A2/EAAT2|SLC1A2	AATC|GOT1
LYRIC|MTDH	SLC1A2/EAAT2|SLC1A2
PKC-delta|PRKCD|PKC|PRKCD	SLC1A2/EAAT2|SLC1A2
ATF/CREB|CREB1|CREB1	SLC1A2/EAAT2|SLC1A2
PKC-alpha|PRKCA|PKC|PRKCA|cPKC (conventional)|PRKCA	SLC1A2/EAAT2|SLC1A2
Tau (MAPT)|MAPT	SLC1A2/EAAT2|SLC1A2
AATM|GOT2	SLC1A2/EAAT2|SLC1A2
SLC1A2/EAAT2|SLC1A2	AATM|GOT2
OXDD|DDO	SLC1A2/EAAT2|SLC1A2
SLC1A2/EAAT2|SLC1A2	OXDD|DDO
PARP-1|PARP1	IRF1
E2I|UBE2I	IRF1
6772-6774	IRF1
RNF20	IRF1
ISGF3|STAT1|STAT1/STAT2|STAT1|STAT1|ISGF3|STAT2|STAT1/STAT2|STAT2|STAT2	IRF1
DOT1|DOT1L	IRF1
CAF-1|RBBP4|Core histone deacetylase I complex|RBBP4|NuRD complex|RBBP4|PRC2 complex|RBBP4|RBBP4 (RbAp48)|RBBP4	IRF1
MyD88|MYD88	IRF1
IRF1	MyD88|MYD88
DRAP1	IRF1
IRF1	DRAP1
PIAS3	IRF1
TFIIF; alpha subunit|GTF2F1|TFIIF|GTF2F1|TFIIF; beta subunit|GTF2F2|TFIIF|GTF2F2	IRF1
IRF1	TFIIF; alpha subunit|GTF2F1|TFIIF|GTF2F1|TFIIF; beta subunit|GTF2F2|TFIIF|GTF2F2
PIAS1	IRF1
ISGF3|STAT2|STAT1/STAT2|STAT2|STAT2	IRF1
EBF|EBF1	IRF1
DDX1	IRF1
c-Myb|MYB	IRF1
IRF1	c-Myb|MYB
YTHDF3	IRF1
SP1/SP3 complex|SP1|SP1	IRF1
Sirtuin1|SIRT1|Sirtuin|SIRT1	IRF1
STAT5|STAT5A|STAT5A	IRF1
HMGI/Y|HMGA1	IRF1
CTDP1	IRF1
CHIP|STUB1	IRF1
SET7|SETD7	IRF1
CPSF3	IRF1
USP22	IRF1
CLIMP-63|CKAP4	IRF1
DR1	IRF1
IRF1	DR1
c-IAP2-MALT1 fusion protein|BIRC3|c-IAP2|BIRC3	IRF1
Core histone deacetylase I complex|HDAC2|HDAC2|Histone deacetylase class I|HDAC2|NuRD complex|HDAC2	IRF1
6774-6775	IRF1
Menin|MEN1	IRF1
NPM/ALK fusion protein|NPM1|Nucleophosmin|NPM1	IRF1
BAF|SMARCA4|BRG1|SMARCA4|PBAF|SMARCA4	IRF1
HIVEP1 (PRDII-BF1)|HIVEP1	IRF1
BTF3	IRF1
PAF complex|PAF1|PAF1	IRF1
PAX8/PPARgamma fusion protein|PPARG|PPAR-gamma/RXR-alpha|PPARG|PPAR-gamma|PPARG	IRF1
IRF1	PAX8/PPARgamma fusion protein|PPARG|PPAR-gamma/RXR-alpha|PPARG|PPAR-gamma|PPARG
CRSP complex|MED23|DRIP130|MED23|TRAP/SMCC complex|MED23	IRF1
IRF1	CRSP complex|MED23|DRIP130|MED23|TRAP/SMCC complex|MED23
Ebp1|PA2G4	IRF1
GCR-alpha|NR3C1|GCR-beta|NR3C1	IRF1
IRF1	GCR-alpha|NR3C1|GCR-beta|NR3C1
ISGF3|STAT1|STAT1/STAT2|STAT1|STAT1	IRF1
TBL3	IRF1
1457-1460	IRF1
miR-23a-3p|MIR23A|miR-23a-5p|MIR23A|microRNA 23a|MIR23A	IRF1
SHP-1|PTPN6	IRF1
YB-1|YBX1	IRF1
STAT5|STAT5A|STAT5A|STAT5|STAT5B|STAT5B	IRF1
C/EBP|CEBPB|C/EBPbeta|CEBPB	IRF1
STAT6	IRF1
IRF1	STAT6
TAF1|TAFs|TAF1|TFIID|TAF1|TAFII150|TAF2|TAFs|TAF2|TFIID|TAF2|TFTC complex|TAF2|TAF4 (TAFII130)|TAF4|TAFs|TAF4|TFIID|TAF4|TFTC complex|TAF4|TAF4B|TAFs|TAF4B|TFIID|TAF4B|TAF5|TAFs|TAF5|TFIID|TAF5|TFTC complex|TAF5|TAFII70|TAF6|TAFs|TAF6|TFIID|TAF6|TFTC complex|TAF6|TAFII55|TAF7|TAFs|TAF7|TFIID|TAF7|TFTC complex|TAF7|PCAF histone acetylase complex|TAF9|TAFs|TAF9|TFIID 31 kDa subunit|TAF9|TFIID|TAF9|TFTC complex|TAF9|PCAF histone acetylase complex|TAF10|TAFs|TAF10|TFIID 30 kDa subunit|TAF10|TFIID|TAF10|TFTC complex|TAF10|TAFII28|TAF11|TAFs|TAF11|TFIID|TAF11|PCAF histone acetylase complex|TAF12|TAF12|TAFs|TAF12|TFIID|TAF12|TFTC complex|TAF12|TAF13|TAFs|TAF13|TFIID|TAF13|TBP|TFIID|TBP|TFIIIB|TBP|TAF15|TAFs|TAF15|TFIID|TAF15	IRF1
IRF1	TAF1|TAFs|TAF1|TFIID|TAF1|TAFII150|TAF2|TAFs|TAF2|TFIID|TAF2|TFTC complex|TAF2|TAF4 (TAFII130)|TAF4|TAFs|TAF4|TFIID|TAF4|TFTC complex|TAF4|TAF4B|TAFs|TAF4B|TFIID|TAF4B|TAF5|TAFs|TAF5|TFIID|TAF5|TFTC complex|TAF5|TAFII70|TAF6|TAFs|TAF6|TFIID|TAF6|TFTC complex|TAF6|TAFII55|TAF7|TAFs|TAF7|TFIID|TAF7|TFTC complex|TAF7|PCAF histone acetylase complex|TAF9|TAFs|TAF9|TFIID 31 kDa subunit|TAF9|TFIID|TAF9|TFTC complex|TAF9|PCAF histone acetylase complex|TAF10|TAFs|TAF10|TFIID 30 kDa subunit|TAF10|TFIID|TAF10|TFTC complex|TAF10|TAFII28|TAF11|TAFs|TAF11|TFIID|TAF11|PCAF histone acetylase complex|TAF12|TAF12|TAFs|TAF12|TFIID|TAF12|TFTC complex|TAF12|TAF13|TAFs|TAF13|TFIID|TAF13|TBP|TFIID|TBP|TFIIIB|TBP|TAF15|TAFs|TAF15|TFIID|TAF15
STAT4	IRF1
STAT3	IRF1
Importin (karyopherin)-alpha|KPNA6|Karyopherin alpha 6|KPNA6|Importin (karyopherin)-alpha|KPNA1|Karyopherin alpha 1|KPNA1|Importin (karyopherin)-alpha|KPNA2|Karyopherin alpha 2|KPNA2|Importin (karyopherin)-alpha|KPNA3|Karyopherin alpha 3|KPNA3|Importin (karyopherin)-alpha|KPNA4|Karyopherin alpha 4|KPNA4|Importin (karyopherin)-alpha|KPNA5|Karyopherin alpha 5|KPNA5	IRF1
IRF1	Importin (karyopherin)-alpha|KPNA6|Karyopherin alpha 6|KPNA6|Importin (karyopherin)-alpha|KPNA1|Karyopherin alpha 1|KPNA1|Importin (karyopherin)-alpha|KPNA2|Karyopherin alpha 2|KPNA2|Importin (karyopherin)-alpha|KPNA3|Karyopherin alpha 3|KPNA3|Importin (karyopherin)-alpha|KPNA4|Karyopherin alpha 4|KPNA4|Importin (karyopherin)-alpha|KPNA5|Karyopherin alpha 5|KPNA5
HCF1|HCFC1	IRF1
STAT5|STAT5B|STAT5B	IRF1
IFN-gamma receptor|IFNGR1|IFNGR1	IRF1
p160|MYBBP1A	IRF1
PC4|SUB1	IRF1
IRF8	IRF1
IRF1	IRF8
IKK-epsilon|IKBKE	IRF1
ERR1|ESRRA	IRF1
IRF5	IRF1
NCOA2 (GRIP1/TIF2)|NCOA2	IRF1
Core histone deacetylase I complex|HDAC1|HDAC1|Histone deacetylase class I|HDAC1|NuRD complex|HDAC1	IRF1
p300|EP300	IRF1
IRF1	p300|EP300
PRMT1	IRF1
Importin (karyopherin)-alpha|KPNA2|Karyopherin alpha 2|KPNA2	IRF1
IRF9|ISGF3|IRF9	IRF1
IRF1	IRF9|ISGF3|IRF9
BAL|PARP9	IRF1
IRF1	BAL|PARP9
PU.1|SPI1	IRF1
IRF1	PU.1|SPI1
SUMO-1|SUMO1	IRF1
CSNK2A1P|CSNK2A1|Casein kinase II; alpha chain (CSNK2A1)|CSNK2A1|Casein kinase II; alpha chains|CSNK2A1|Casein kinase II|CSNK2A1	IRF1
IKK (cat)|CHUK|IKK-alpha|CHUK	IRF1
c-Myc|MYC	IRF1
IRF1	c-Myc|MYC
p63|TP63	IRF1
HIF-1|HIF1A|HIF1A/ARNT2|HIF1A|HIF1A	IRF1
Dystroglycan|DAG1|alpha-DG|DAG1	MAGI-1(BAIAP1)|MAGI1
CLCN5	MAGI-1(BAIAP1)|MAGI1
Rac1|RAC1	MAGI-1(BAIAP1)|MAGI1
BZW1	MAGI-1(BAIAP1)|MAGI1
Pyk2(FAK2)|PTK2B	MAGI-1(BAIAP1)|MAGI1
PTPR-zeta|PTPRZ1	MAGI-1(BAIAP1)|MAGI1
TIF1-beta|TRIM28	MAGI-1(BAIAP1)|MAGI1
GBP2	MAGI-1(BAIAP1)|MAGI1
NET1	MAGI-1(BAIAP1)|MAGI1
Angiomotin (AMOT)|AMOT	MAGI-1(BAIAP1)|MAGI1
Carom|FCHSD2	MAGI-1(BAIAP1)|MAGI1
IL-6 receptor|IL6R|IL6RA|IL6R|sIL6-RA|IL6R|CNTF receptor|IL6ST|IL-11 receptor|IL6ST|IL-27 receptor|IL6ST|IL-6 receptor|IL6ST|LIF receptor|IL6ST|OSM receptor|IL6ST|gp130|IL6ST	MAGI-1(BAIAP1)|MAGI1
Cathepsin S|CTSS	MAGI-1(BAIAP1)|MAGI1
ASPP2|TP53BP2	MAGI-1(BAIAP1)|MAGI1
IQGAP1	MAGI-1(BAIAP1)|MAGI1
p90RSK1|RPS6KA1|p90Rsk|RPS6KA1|p90RSK3(RPS6KA2)|RPS6KA2|p90Rsk|RPS6KA2|p90RSK2(RPS6KA3)|RPS6KA3|p90Rsk|RPS6KA3	MAGI-1(BAIAP1)|MAGI1
MAGI-1(BAIAP1)|MAGI1	p90RSK1|RPS6KA1|p90Rsk|RPS6KA1|p90RSK3(RPS6KA2)|RPS6KA2|p90Rsk|RPS6KA2|p90RSK2(RPS6KA3)|RPS6KA3|p90Rsk|RPS6KA3
Cathepsin K|CTSK	MAGI-1(BAIAP1)|MAGI1
Cathepsin B|CTSB	MAGI-1(BAIAP1)|MAGI1
c-Src|SRC	MAGI-1(BAIAP1)|MAGI1
Cathepsin L|CTSL	MAGI-1(BAIAP1)|MAGI1
ESAM	MAGI-1(BAIAP1)|MAGI1
14-3-3 theta|YWHAQ|14-3-3|YWHAQ|14-3-3 sigma|SFN|14-3-3|SFN|14-3-3 beta/alpha|YWHAB|14-3-3|YWHAB|14-3-3 epsilon|YWHAE|14-3-3|YWHAE|14-3-3 gamma|YWHAG|14-3-3|YWHAG|14-3-3 eta|YWHAH|14-3-3|YWHAH|14-3-3 zeta/delta|YWHAZ|14-3-3|YWHAZ	MAGI-1(BAIAP1)|MAGI1
Atrophin-1|ATN1	MAGI-1(BAIAP1)|MAGI1
p120GAP|RASA1	MAGI-1(BAIAP1)|MAGI1
Cadherin 23|CDH23	MAGI-1(BAIAP1)|MAGI1
ACCN3 (ASIC3)|ASIC3	MAGI-1(BAIAP1)|MAGI1
PKC-mu|PRKD1|PKC|PRKD1	MAGI-1(BAIAP1)|MAGI1
WBP-2|WBP2	MAGI-1(BAIAP1)|MAGI1
BVRA|BLVRA	NF-kB p50/p65|RELA|NF-kB p52/p65|RELA|NF-kB p65/c-Rel|RELA|NF-kB p65/p65|RELA|NF-kB|RELA|RelA (p65 NF-kB subunit)|RELA
NF-kB p50/p65|RELA|NF-kB p52/p65|RELA|NF-kB p65/c-Rel|RELA|NF-kB p65/p65|RELA|NF-kB|RELA|RelA (p65 NF-kB subunit)|RELA	BVRA|BLVRA
iASPP|PPP1R13L	NF-kB p50/p65|RELA|NF-kB p52/p65|RELA|NF-kB p65/c-Rel|RELA|NF-kB p65/p65|RELA|NF-kB|RELA|RelA (p65 NF-kB subunit)|RELA
NF-kB p50/p65|RELA|NF-kB p52/p65|RELA|NF-kB p65/c-Rel|RELA|NF-kB p65/p65|RELA|NF-kB|RELA|RelA (p65 NF-kB subunit)|RELA	iASPP|PPP1R13L
HBXAP|RSF1	NF-kB p50/p65|RELA|NF-kB p52/p65|RELA|NF-kB p65/c-Rel|RELA|NF-kB p65/p65|RELA|NF-kB|RELA|RelA (p65 NF-kB subunit)|RELA
HDAC3|Histone deacetylase class I|HDAC3	NF-kB p50/p65|RELA|NF-kB p52/p65|RELA|NF-kB p65/c-Rel|RELA|NF-kB p65/p65|RELA|NF-kB|RELA|RelA (p65 NF-kB subunit)|RELA
NF-kB p50/p65|RELA|NF-kB p52/p65|RELA|NF-kB p65/c-Rel|RELA|NF-kB p65/p65|RELA|NF-kB|RELA|RelA (p65 NF-kB subunit)|RELA	HDAC3|Histone deacetylase class I|HDAC3
I-kB|NFKBIA|NFKBIA|I-kB|NFKBIB|NFKBIB|I-kB|NFKBIE|NFKBIE	NF-kB p50/p65|RELA|NF-kB p52/p65|RELA|NF-kB p65/c-Rel|RELA|NF-kB p65/p65|RELA|NF-kB|RELA|RelA (p65 NF-kB subunit)|RELA
EGR4	NF-kB p50/p65|RELA|NF-kB p52/p65|RELA|NF-kB p65/c-Rel|RELA|NF-kB p65/p65|RELA|NF-kB|RELA|RelA (p65 NF-kB subunit)|RELA
EGR3	NF-kB p50/p65|RELA|NF-kB p52/p65|RELA|NF-kB p65/c-Rel|RELA|NF-kB p65/p65|RELA|NF-kB|RELA|RelA (p65 NF-kB subunit)|RELA
G9a|EHMT2	NF-kB p50/p65|RELA|NF-kB p52/p65|RELA|NF-kB p65/c-Rel|RELA|NF-kB p65/p65|RELA|NF-kB|RELA|RelA (p65 NF-kB subunit)|RELA
MUC1-CT|MUC1|MUC1-NT|MUC1|MUC1	NF-kB p50/p65|RELA|NF-kB p52/p65|RELA|NF-kB p65/c-Rel|RELA|NF-kB p65/p65|RELA|NF-kB|RELA|RelA (p65 NF-kB subunit)|RELA
NF-kB p50/p65|RELA|NF-kB p52/p65|RELA|NF-kB p65/c-Rel|RELA|NF-kB p65/p65|RELA|NF-kB|RELA|RelA (p65 NF-kB subunit)|RELA	MUC1-CT|MUC1|MUC1-NT|MUC1|MUC1
MafK|MAFK	NF-kB p50/p65|RELA|NF-kB p52/p65|RELA|NF-kB p65/c-Rel|RELA|NF-kB p65/p65|RELA|NF-kB|RELA|RelA (p65 NF-kB subunit)|RELA
AES (GRG)|AES	NF-kB p50/p65|RELA|NF-kB p52/p65|RELA|NF-kB p65/c-Rel|RELA|NF-kB p65/p65|RELA|NF-kB|RELA|RelA (p65 NF-kB subunit)|RELA
EGR1	NF-kB p50/p65|RELA|NF-kB p52/p65|RELA|NF-kB p65/c-Rel|RELA|NF-kB p65/p65|RELA|NF-kB|RELA|RelA (p65 NF-kB subunit)|RELA
NF-kB p50/p65|RELA|NF-kB p52/p65|RELA|NF-kB p65/c-Rel|RELA|NF-kB p65/p65|RELA|NF-kB|RELA|RelA (p65 NF-kB subunit)|RELA	EGR1
PP2A cat (alpha)|PPP2CA|PP2A catalytic|PPP2CA	NF-kB p50/p65|RELA|NF-kB p52/p65|RELA|NF-kB p65/c-Rel|RELA|NF-kB p65/p65|RELA|NF-kB|RELA|RelA (p65 NF-kB subunit)|RELA
Brca1/Bard1|BRCA1|Brca1|BRCA1	NF-kB p50/p65|RELA|NF-kB p52/p65|RELA|NF-kB p65/c-Rel|RELA|NF-kB p65/p65|RELA|NF-kB|RELA|RelA (p65 NF-kB subunit)|RELA
BAPX1|NKX3-2	NF-kB p50/p65|RELA|NF-kB p52/p65|RELA|NF-kB p65/c-Rel|RELA|NF-kB p65/p65|RELA|NF-kB|RELA|RelA (p65 NF-kB subunit)|RELA
GSK3 alpha/beta|GSK3B|GSK3 beta|GSK3B	NF-kB p50/p65|RELA|NF-kB p52/p65|RELA|NF-kB p65/c-Rel|RELA|NF-kB p65/p65|RELA|NF-kB|RELA|RelA (p65 NF-kB subunit)|RELA
DCTN2|Dynactin complex|DCTN2	NF-kB p50/p65|RELA|NF-kB p52/p65|RELA|NF-kB p65/c-Rel|RELA|NF-kB p65/p65|RELA|NF-kB|RELA|RelA (p65 NF-kB subunit)|RELA
PRMT6	NF-kB p50/p65|RELA|NF-kB p52/p65|RELA|NF-kB p65/c-Rel|RELA|NF-kB p65/p65|RELA|NF-kB|RELA|RelA (p65 NF-kB subunit)|RELA
OGT (GlcNAc transferase)|OGT	NF-kB p50/p65|RELA|NF-kB p52/p65|RELA|NF-kB p65/c-Rel|RELA|NF-kB p65/p65|RELA|NF-kB|RELA|RelA (p65 NF-kB subunit)|RELA
PRMT5	NF-kB p50/p65|RELA|NF-kB p52/p65|RELA|NF-kB p65/c-Rel|RELA|NF-kB p65/p65|RELA|NF-kB|RELA|RelA (p65 NF-kB subunit)|RELA
ART-27|UXT	NF-kB p50/p65|RELA|NF-kB p52/p65|RELA|NF-kB p65/c-Rel|RELA|NF-kB p65/p65|RELA|NF-kB|RELA|RelA (p65 NF-kB subunit)|RELA
PAX8/PPARgamma fusion protein|PPARG|PPAR-gamma/RXR-alpha|PPARG|PPAR-gamma|PPARG|CAR/RXR-alpha|RXRA|FXR/RXR-alpha|RXRA|LXR-alpha/RXR-alpha|RXRA|LXR-beta/RXR-alpha|RXRA|PPAR-alpha/RXR-alpha|RXRA|PPAR-beta(delta)/RXR-alpha|RXRA|PPAR-gamma/RXR-alpha|RXRA|PXR/RXR-alpha|RXRA|RAR-alpha/RXR-alpha|RXRA|RAR-beta/RXR-alpha|RXRA|RAR-gamma/RXR-alpha|RXRA|RXR|RXRA|RXRA|T3Rbeta/RXR-alpha|RXRA|TRa/RXRa|RXRA|VDR/RXR-alpha|RXRA	NF-kB p50/p65|RELA|NF-kB p52/p65|RELA|NF-kB p65/c-Rel|RELA|NF-kB p65/p65|RELA|NF-kB|RELA|RelA (p65 NF-kB subunit)|RELA
p53 (mitochondrial)|TP53|p53|TP53	NF-kB p50/p65|RELA|NF-kB p52/p65|RELA|NF-kB p65/c-Rel|RELA|NF-kB p65/p65|RELA|NF-kB|RELA|RelA (p65 NF-kB subunit)|RELA
NF-kB p50/p65|RELA|NF-kB p52/p65|RELA|NF-kB p65/c-Rel|RELA|NF-kB p65/p65|RELA|NF-kB|RELA|RelA (p65 NF-kB subunit)|RELA	p53 (mitochondrial)|TP53|p53|TP53
CDK5RAP3	NF-kB p50/p65|RELA|NF-kB p52/p65|RELA|NF-kB p65/c-Rel|RELA|NF-kB p65/p65|RELA|NF-kB|RELA|RelA (p65 NF-kB subunit)|RELA
OGG1	NF-kB p50/p65|RELA|NF-kB p52/p65|RELA|NF-kB p65/c-Rel|RELA|NF-kB p65/p65|RELA|NF-kB|RELA|RelA (p65 NF-kB subunit)|RELA
IRAK1BP1	NF-kB p50/p65|RELA|NF-kB p52/p65|RELA|NF-kB p65/c-Rel|RELA|NF-kB p65/p65|RELA|NF-kB|RELA|RelA (p65 NF-kB subunit)|RELA
DYNC1I1|Dynein 1; cytoplasmic; intermediate chains|DYNC1I1	NF-kB p50/p65|RELA|NF-kB p52/p65|RELA|NF-kB p65/c-Rel|RELA|NF-kB p65/p65|RELA|NF-kB|RELA|RelA (p65 NF-kB subunit)|RELA
CRIP2	NF-kB p50/p65|RELA|NF-kB p52/p65|RELA|NF-kB p65/c-Rel|RELA|NF-kB p65/p65|RELA|NF-kB|RELA|RelA (p65 NF-kB subunit)|RELA
BRMS1	NF-kB p50/p65|RELA|NF-kB p52/p65|RELA|NF-kB p65/c-Rel|RELA|NF-kB p65/p65|RELA|NF-kB|RELA|RelA (p65 NF-kB subunit)|RELA
NF-kB p50/p65|RELA|NF-kB p52/p65|RELA|NF-kB p65/c-Rel|RELA|NF-kB p65/p65|RELA|NF-kB|RELA|RelA (p65 NF-kB subunit)|RELA	BRMS1
CASP|CUX1|CUX1 (p110)|CUX1|CUX1	NF-kB p50/p65|RELA|NF-kB p52/p65|RELA|NF-kB p65/c-Rel|RELA|NF-kB p65/p65|RELA|NF-kB|RELA|RelA (p65 NF-kB subunit)|RELA
NIK(MAP3K14)|MAP3K14	NF-kB p50/p65|RELA|NF-kB p52/p65|RELA|NF-kB p65/c-Rel|RELA|NF-kB p65/p65|RELA|NF-kB|RELA|RelA (p65 NF-kB subunit)|RELA
PPAR-beta(delta)/RXR-alpha|PPARD|PPAR-beta(delta)|PPARD	NF-kB p50/p65|RELA|NF-kB p52/p65|RELA|NF-kB p65/c-Rel|RELA|NF-kB p65/p65|RELA|NF-kB|RELA|RelA (p65 NF-kB subunit)|RELA
NF-kB p50/p65|RELA|NF-kB p52/p65|RELA|NF-kB p65/c-Rel|RELA|NF-kB p65/p65|RELA|NF-kB|RELA|RelA (p65 NF-kB subunit)|RELA	PPAR-beta(delta)/RXR-alpha|PPARD|PPAR-beta(delta)|PPARD
SETD6	NF-kB p50/p65|RELA|NF-kB p52/p65|RELA|NF-kB p65/c-Rel|RELA|NF-kB p65/p65|RELA|NF-kB|RELA|RelA (p65 NF-kB subunit)|RELA
DDX9|DHX9	NF-kB p50/p65|RELA|NF-kB p52/p65|RELA|NF-kB p65/c-Rel|RELA|NF-kB p65/p65|RELA|NF-kB|RELA|RelA (p65 NF-kB subunit)|RELA
Importin (karyopherin)-alpha|KPNA1|Karyopherin alpha 1|KPNA1	NF-kB p50/p65|RELA|NF-kB p52/p65|RELA|NF-kB p65/c-Rel|RELA|NF-kB p65/p65|RELA|NF-kB|RELA|RelA (p65 NF-kB subunit)|RELA
E2F1/DP1 complex|E2F1|E2F1	NF-kB p50/p65|RELA|NF-kB p52/p65|RELA|NF-kB p65/c-Rel|RELA|NF-kB p65/p65|RELA|NF-kB|RELA|RelA (p65 NF-kB subunit)|RELA
FBXL11|KDM2A	NF-kB p50/p65|RELA|NF-kB p52/p65|RELA|NF-kB p65/c-Rel|RELA|NF-kB p65/p65|RELA|NF-kB|RELA|RelA (p65 NF-kB subunit)|RELA
AKIP1	NF-kB p50/p65|RELA|NF-kB p52/p65|RELA|NF-kB p65/c-Rel|RELA|NF-kB p65/p65|RELA|NF-kB|RELA|RelA (p65 NF-kB subunit)|RELA
GFI-1|GFI1	NF-kB p50/p65|RELA|NF-kB p52/p65|RELA|NF-kB p65/c-Rel|RELA|NF-kB p65/p65|RELA|NF-kB|RELA|RelA (p65 NF-kB subunit)|RELA
IEX1|IER3	NF-kB p50/p65|RELA|NF-kB p52/p65|RELA|NF-kB p65/c-Rel|RELA|NF-kB p65/p65|RELA|NF-kB|RELA|RelA (p65 NF-kB subunit)|RELA
NF-kB p50/p65|RELA|NF-kB p52/p65|RELA|NF-kB p65/c-Rel|RELA|NF-kB p65/p65|RELA|NF-kB|RELA|RelA (p65 NF-kB subunit)|RELA	IEX1|IER3
RPS3|Small 40S subunit|RPS3	NF-kB p50/p65|RELA|NF-kB p52/p65|RELA|NF-kB p65/c-Rel|RELA|NF-kB p65/p65|RELA|NF-kB|RELA|RelA (p65 NF-kB subunit)|RELA
CaMK II gamma|CAMK2G|CaMK II|CAMK2G	NF-kB p50/p65|RELA|NF-kB p52/p65|RELA|NF-kB p65/c-Rel|RELA|NF-kB p65/p65|RELA|NF-kB|RELA|RelA (p65 NF-kB subunit)|RELA
TRAF7	NF-kB p50/p65|RELA|NF-kB p52/p65|RELA|NF-kB p65/c-Rel|RELA|NF-kB p65/p65|RELA|NF-kB|RELA|RelA (p65 NF-kB subunit)|RELA
MKL1|RBM15/MKL1 fusion protein|MKL1	NF-kB p50/p65|RELA|NF-kB p52/p65|RELA|NF-kB p65/c-Rel|RELA|NF-kB p65/p65|RELA|NF-kB|RELA|RelA (p65 NF-kB subunit)|RELA
26S proteasome (19S regulator)|PSMD10|PSMD10 (Gankyrin)|PSMD10	NF-kB p50/p65|RELA|NF-kB p52/p65|RELA|NF-kB p65/c-Rel|RELA|NF-kB p65/p65|RELA|NF-kB|RELA|RelA (p65 NF-kB subunit)|RELA
ESR2 (membrane)|ESR2|ESR2 (mitochondrial)|ESR2|ESR2|ESR|ESR2	NF-kB p50/p65|RELA|NF-kB p52/p65|RELA|NF-kB p65/c-Rel|RELA|NF-kB p65/p65|RELA|NF-kB|RELA|RelA (p65 NF-kB subunit)|RELA
HSC70|HSPA8|HSP70|HSPA8	NF-kB p50/p65|RELA|NF-kB p52/p65|RELA|NF-kB p65/c-Rel|RELA|NF-kB p65/p65|RELA|NF-kB|RELA|RelA (p65 NF-kB subunit)|RELA
DVL-2|DVL2|Dsh|DVL2	NF-kB p50/p65|RELA|NF-kB p52/p65|RELA|NF-kB p65/c-Rel|RELA|NF-kB p65/p65|RELA|NF-kB|RELA|RelA (p65 NF-kB subunit)|RELA
ID1	NF-kB p50/p65|RELA|NF-kB p52/p65|RELA|NF-kB p65/c-Rel|RELA|NF-kB p65/p65|RELA|NF-kB|RELA|RelA (p65 NF-kB subunit)|RELA
