from	to
GRB2	2885-20662
GRB2	2885-3082-4233-6464-6654
GRB2	Dynamin-1|DNM1|Dynamin|DNM1
GRB2	PTPR-alpha|PTPRA
GRB2	2885-3815-4254-5781-9846
GRB2	WRCH-1|RHOU
GRB2	1950-1956-2885
GRB2	1950-1956-2885-6464-6654
GAB1|Gab|GAB1	GRB2
GRB2	GAB1|Gab|GAB1
GRB2	2185-2885-6654-6714
GRB2	867-1950-1956-2885
GRB2	Schwannomin (NF2)|NF2
GRB2	SOCS1
GRB2	c-Raf-1|RAF1
GRB2	STAT3
GRB2	PAK1
GRB2	2047-2885-6464-6714
GRB2	VAV-3|VAV3
GRB2	2885-5747-6654
GRB2	2885-5781
GRB2	2885-3082-4233-6654
GRB2	Slp76|LCP2
GRB2	2885-6464-6654-7462
GRB2	2885-5290-5295-5781-6654
Huntingtin|HTT	GRB2
GRB2	Huntingtin|HTT
GRB2	1785-2885-9732
GRB2	867-1950-1956-2885-6456-30011
GRB2	2549-2885-3082-4233-5781
GRB2	2885-5777
GRB2	867-2885
GRB2	2885-4803-4804-6464-6654
GRB2	2885-64762
GRB2	2885-8976
GRB2	2885-6464-6654
GRB2	Fyn|FYN
GRB2	PLC-gamma 2|PLCG2|PLC-gamma|PLCG2
GRB2	2549-2885-5781-6383-10818
GRB2	FGFR2
GRB2	2549-2885-3082-4233
GRB2	AMPK beta subunit|PRKAB1|AMPK beta1|PRKAB1
GRB2	2885-5781-6654
GRB2	PI3K reg class IA (p85)|PIK3R1|PI3K reg class IA (p85-alpha)|PIK3R1|PI3K reg class IA|PIK3R1
GRB2	2668-2674-2885-5979-6464-6654
GRB2	1950-1956-2549-2885
OXDD|DDO	COP9 signalosome|COPS8|HCOP9|COPS8|COP9 signalosome|COPS6|COPS6|COP9 signalosome|COPS5|JAB1|COPS5|COP9 signalosome|GPS1|GPS1|COP9 signalosome|COPS7A|COPS7|COPS7A|COPS7A|COP9 signalosome|COPS4|COPS4|COP9 signalosome|COPS7B|COPS7|COPS7B|COPS7B|COP9 signalosome|COPS3|COPS3|COP9 signalosome|COPS2|TRIP15|COPS2
OXDD|DDO	PTS1 receptor|PEX5
SLC1A1/EAAT3|SLC1A1	OXDD|DDO
OXDD|DDO	SLC1A1/EAAT3|SLC1A1
EAAT4|SLC1A6	OXDD|DDO
OXDD|DDO	EAAT4|SLC1A6
GLAST1/EAAT1|SLC1A3	OXDD|DDO
OXDD|DDO	GLAST1/EAAT1|SLC1A3
COPE|Coatomer|COPE|COPA|Coatomer|COPA|COPB|COPB1|Coatomer|COPB1|COP-zeta|COPZ1|COPZ1|Coatomer|COPZ1|COP-gamma|COPG1|COPG1|Coatomer|COPG1|COP-gamma|COPG2|COPG2|Coatomer|COPG2|COPD|ARCN1|Coatomer|ARCN1|COP-zeta|COPZ2|COPZ2|Coatomer|COPZ2|COPB2|Coatomer|COPB2	AATM|GOT2
AATM|GOT2	COPE|Coatomer|COPE|COPA|Coatomer|COPA|COPB|COPB1|Coatomer|COPB1|COP-zeta|COPZ1|COPZ1|Coatomer|COPZ1|COP-gamma|COPG1|COPG1|Coatomer|COPG1|COP-gamma|COPG2|COPG2|Coatomer|COPG2|COPD|ARCN1|Coatomer|ARCN1|COP-zeta|COPZ2|COPZ2|Coatomer|COPZ2|COPB2|Coatomer|COPB2
AATM|GOT2	FTSJ1
NUP62	AATM|GOT2
AATM|GOT2	NUP62
AATM|GOT2	LDHB
AATM|GOT2	LDHA
AATM|GOT2	Cyclin A1|CCNA1|Cyclin A|CCNA1|Cyclin A2|CCNA2|Cyclin A|CCNA2
AATM|GOT2	80145
AATM|GOT2	MPG
AATM|GOT2	HLA-A11|HLA-A|HLA-A2 (CTF)|HLA-A|HLA-A2 (ICD)|HLA-A|HLA-A2|HLA-A|HLA-A3|HLA-A|HLA-A68|HLA-A|HLA-A|MHC class I|HLA-A|1B08_HUMAN|HLA-B|1B35_HUMAN|HLA-B|1B57_HUMAN|HLA-B|1B73|HLA-B|HLA-B27|HLA-B|HLA-B7|HLA-B|HLA-B|HLAB|HLA-B|MHC class I|HLA-B|HLA-C|HLA-Cw3|HLA-C|HLA-Cw4|HLA-C|HLA-Cw6|HLA-C|HLA-Cw7|HLA-C|MHC class I|HLA-C
AATM|GOT2	PYC|PC
SLC25A13	AATM|GOT2
AATM|GOT2	SLC25A13
AATM|GOT2	ICAT|CTNNBIP1
TST	AATM|GOT2
AATM|GOT2	TST
AATM|GOT2	PAK2
CDO1	AATM|GOT2
AATM|GOT2	CDO1
AATM|GOT2	CRCM|MCC
AATM|GOT2	26S proteasome (19S regulator)|PSMD14|PSMD14|26S proteasome (19S regulator)|PSMC1|PSMC1|26S proteasome (19S regulator)|PSMC2|PSMC2|26S proteasome (19S regulator)|PSMC3|PSMC3|26S proteasome (19S regulator)|PSMC4|PSMC4|26S proteasome (19S regulator)|PSMC5|PSMC5|26S proteasome (19S regulator)|PSMC6|PSMC6|26S proteasome (19S regulator)|PSMD1|PSMD1|26S proteasome (19S regulator)|PSMD2|PSMD2|26S proteasome (19S regulator)|PSMD3|PSMD3|26S proteasome (19S regulator)|PSMD4|PSMD4|26S proteasome (19S regulator)|PSMD5|PSMD5|26S proteasome (19S regulator)|PSMD7|PSMD7|26S proteasome (19S regulator)|PSMD8|PSMD8|26S proteasome (19S regulator)|PSMD9|PSMD9|26S proteasome (19S regulator)|PSMD10|PSMD10 (Gankyrin)|PSMD10|26S proteasome (19S regulator)|PSMD11|PSMD11|26S proteasome (19S regulator)|PSMD12|PSMD12|26S proteasome (19S regulator)|PSMD13|PSMD13|26S proteasome (19S regulator)|PSMD6|PSMD6
AATM|GOT2	AMPK beta subunit|PRKAB1|AMPK beta1|PRKAB1|AMPK beta subunit|PRKAB2|AMPK beta2|PRKAB2
AATM|GOT2	DHE3|GLUD1
MIF	AATM|GOT2
AATM|GOT2	MIF
AATM|GOT2	BCAR3
AATM|GOT2	10289
AATM|GOT2	ZDHHC6
AATM|GOT2	CDK2
Proline oxidase 1|PRODH	AATM|GOT2
AATM|GOT2	Proline oxidase 1|PRODH
AATM|GOT2	MDH2
AATM|GOT2	ARF6
AATM|GOT2	APG5|ATG5
AATM|GOT2	HDAC6|Histone deacetylase class II|HDAC6|HDAC5|Histone deacetylase class II|HDAC5|HDAC7|Histone deacetylase class II|HDAC7|HDAC10|Histone deacetylase class II|HDAC10|HDAC9|Histone deacetylase class II|HDAC9|HDAC4|Histone deacetylase class II|HDAC4
THTM|MPST	AATM|GOT2
AATM|GOT2	THTM|MPST
AATM|GOT2	EPB41
AATM|GOT2	TNIK
HPD	AATM|GOT2
AATM|GOT2	HPD
AL4A1|ALDH4A1	AATM|GOT2
AATM|GOT2	AL4A1|ALDH4A1
AATM|GOT2	G3P2|GAPDH
AATM|GOT2	GAD2
AATM|GOT2	GAD1
Aralar1 (SLC25A12)|SLC25A12	AATM|GOT2
AATM|GOT2	Aralar1 (SLC25A12)|SLC25A12
AATM|GOT2	MPTP complex|VDAC1|VDAC 1|VDAC1
CSAD	AATM|GOT2
AATM|GOT2	CSAD
AATC|GOT1	TMEM120A
AATC|GOT1	TYSY|TYMS
AATC|GOT1	EGFR
AATC|GOT1	IDH1
AATC|GOT1	HPRT|HPRT1
ITGB3|alpha-IIb/beta-3 integrin|ITGB3|alpha-V/beta-3 integrin|ITGB3	Syk|SYK
ITGB3|alpha-IIb/beta-3 integrin|ITGB3|alpha-V/beta-3 integrin|ITGB3	PI3K reg class IA (p85)|PIK3R1|PI3K reg class IA (p85-alpha)|PIK3R1|PI3K reg class IA|PIK3R1|PI3K reg class IA (p85)|PIK3R2|PI3K reg class IA (p85-beta)|PIK3R2|PI3K reg class IA|PIK3R2
c-Src|SRC	ITGB3|alpha-IIb/beta-3 integrin|ITGB3|alpha-V/beta-3 integrin|ITGB3
ITGB3|alpha-IIb/beta-3 integrin|ITGB3|alpha-V/beta-3 integrin|ITGB3	c-Src|SRC
ITGB3|alpha-IIb/beta-3 integrin|ITGB3|alpha-V/beta-3 integrin|ITGB3	Paxillin|PXN
ITGB3|alpha-IIb/beta-3 integrin|ITGB3|alpha-V/beta-3 integrin|ITGB3	CD47
VEGFR-2|KDR	ITGB3|alpha-IIb/beta-3 integrin|ITGB3|alpha-V/beta-3 integrin|ITGB3
ITGB3|alpha-IIb/beta-3 integrin|ITGB3|alpha-V/beta-3 integrin|ITGB3	VEGFR-2|KDR
ITGB3|alpha-IIb/beta-3 integrin|ITGB3|alpha-V/beta-3 integrin|ITGB3	TGF-beta receptor type II|TGFBR2
ITGB3|alpha-IIb/beta-3 integrin|ITGB3|alpha-V/beta-3 integrin|ITGB3	K-RAS|KRAS
GAB2|Gab|GAB2	CrkL|CRKL
GAB2|Gab|GAB2	PI3K reg class IA (p85)|PIK3R1|PI3K reg class IA (p85-alpha)|PIK3R1|PI3K reg class IA|PIK3R1|PI3K reg class IA (p85)|PIK3R2|PI3K reg class IA (p85-beta)|PIK3R2|PI3K reg class IA|PIK3R2|PI3K reg class IA (p55-gamma)|PIK3R3|PI3K reg class IA|PIK3R3
GAB2|Gab|GAB2	SHP-1|PTPN6
ETV6/LYN fusion protein|LYN|Lyn|LYN	GAB2|Gab|GAB2
GAB2|Gab|GAB2	ETV6/LYN fusion protein|LYN|Lyn|LYN
GAB2|Gab|GAB2	SOCS3
2066-2885-3084-6464	ERK1/2|MAPK1|ERK2 (MAPK1)|MAPK1|ERK1 (MAPK3)|MAPK3|ERK1/2|MAPK3
2885-3688-6464-6654	ILK
2885-3688-6464-6654	FAK1|PTK2
2885-6464	H-Ras|HRAS
RNF5	Beta-2 adrenergic receptor|ADRB2|Beta-adrenergic receptor|ADRB2|Galpha(i)-specific amine GPCRs|ADRB2|Galpha(s)-specific amine GPCRs|ADRB2
Beta-2 adrenergic receptor|ADRB2|Beta-adrenergic receptor|ADRB2|Galpha(i)-specific amine GPCRs|ADRB2|Galpha(s)-specific amine GPCRs|ADRB2	RNF5
Beta-2 adrenergic receptor|ADRB2|Beta-adrenergic receptor|ADRB2|Galpha(i)-specific amine GPCRs|ADRB2|Galpha(s)-specific amine GPCRs|ADRB2	G-protein alpha-i family|GNAI1|G-protein alpha-i1|GNAI1|G-protein alpha-i family|GNAI2|G-protein alpha-i2|GNAI2|G-protein alpha-i family|GNAI3|G-protein alpha-i3|GNAI3|G-protein alpha-i family|GNAO1|G-protein alpha-o|GNAO1|G-protein alpha-i family|GNAZ|G-protein alpha-z|GNAZ
Beta-2 adrenergic receptor|ADRB2|Beta-adrenergic receptor|ADRB2|Galpha(i)-specific amine GPCRs|ADRB2|Galpha(s)-specific amine GPCRs|ADRB2	Galpha(q)-specific peptide GPCRs|OXTR|OTR|OXTR
Beta-2 adrenergic receptor|ADRB2|Beta-adrenergic receptor|ADRB2|Galpha(i)-specific amine GPCRs|ADRB2|Galpha(s)-specific amine GPCRs|ADRB2	GIRK|KCNJ5|K(+) channel; subfamily J|KCNJ5|Kir3.4|KCNJ5
Beta-2 adrenergic receptor|ADRB2|Beta-adrenergic receptor|ADRB2|Galpha(i)-specific amine GPCRs|ADRB2|Galpha(s)-specific amine GPCRs|ADRB2	CACNA1 L-type|CACNA1C|Ca(II) channels|CACNA1C|Ca(II)channel L-type|CACNA1C|L-type Ca(II) channel; alpha 1C subunit|CACNA1C
Beta-2 adrenergic receptor|ADRB2|Beta-adrenergic receptor|ADRB2|Galpha(i)-specific amine GPCRs|ADRB2|Galpha(s)-specific amine GPCRs|ADRB2	G-protein alpha-15|GNA15
Beta-2 adrenergic receptor|ADRB2|Beta-adrenergic receptor|ADRB2|Galpha(i)-specific amine GPCRs|ADRB2|Galpha(s)-specific amine GPCRs|ADRB2	GIRK|KCNJ3|K(+) channel; subfamily J|KCNJ3|Kir3.1|KCNJ3
Beta-2 adrenergic receptor|ADRB2|Beta-adrenergic receptor|ADRB2|Galpha(i)-specific amine GPCRs|ADRB2|Galpha(s)-specific amine GPCRs|ADRB2	G-protein alpha-i family|GNAI1|G-protein alpha-i1|GNAI1
Beta-2 adrenergic receptor|ADRB2|Beta-adrenergic receptor|ADRB2|Galpha(i)-specific amine GPCRs|ADRB2|Galpha(s)-specific amine GPCRs|ADRB2	G-protein alpha-s|GNAS|GNAS1|GNAS
Beta-2 adrenergic receptor|ADRB2|Beta-adrenergic receptor|ADRB2|Galpha(i)-specific amine GPCRs|ADRB2|Galpha(s)-specific amine GPCRs|ADRB2	G-protein beta-1|GNB1|G-protein beta/gamma|GNB1|G-protein beta1/gamma11|GNB1|G-protein beta1/gamma1|GNB1|G-protein beta1/gamma2|GNB1|G-protein beta1/gamma3|GNB1|G-protein beta1/gamma5|GNB1|G-protein beta|GNB1|G-protein beta/gamma|GNG11|G-protein beta1/gamma11|GNG11|G-protein gamma 11|GNG11|G-protein gamma|GNG11
Beta-2 adrenergic receptor|ADRB2|Beta-adrenergic receptor|ADRB2|Galpha(i)-specific amine GPCRs|ADRB2|Galpha(s)-specific amine GPCRs|ADRB2	PDE4|PDE4D|PDE4D|PDE|PDE4D
Beta-2 adrenergic receptor|ADRB2|Beta-adrenergic receptor|ADRB2|Galpha(i)-specific amine GPCRs|ADRB2|Galpha(s)-specific amine GPCRs|ADRB2	EBP50|SLC9A3R1
Beta-arrestin2|ARRB2	Beta-2 adrenergic receptor|ADRB2|Beta-adrenergic receptor|ADRB2|Galpha(i)-specific amine GPCRs|ADRB2|Galpha(s)-specific amine GPCRs|ADRB2
Beta-2 adrenergic receptor|ADRB2|Beta-adrenergic receptor|ADRB2|Galpha(i)-specific amine GPCRs|ADRB2|Galpha(s)-specific amine GPCRs|ADRB2	Beta-arrestin2|ARRB2
Beta-2 adrenergic receptor|ADRB2|Beta-adrenergic receptor|ADRB2|Galpha(i)-specific amine GPCRs|ADRB2|Galpha(s)-specific amine GPCRs|ADRB2	Beta-arrestin1|ARRB1
Beta-2 adrenergic receptor|ADRB2|Beta-adrenergic receptor|ADRB2|Galpha(i)-specific amine GPCRs|ADRB2|Galpha(s)-specific amine GPCRs|ADRB2	Alpha-2C-1 adrenergic receptor|ADRA2C|Galpha(i)-specific amine GPCRs|ADRA2C
Beta-2 adrenergic receptor|ADRB2|Beta-adrenergic receptor|ADRB2|Galpha(i)-specific amine GPCRs|ADRB2|Galpha(s)-specific amine GPCRs|ADRB2	GIRK|KCNJ6|K(+) channel; subfamily J|KCNJ6|Kir3.2|KCNJ6
Dynamin-2|DNM2|Dynamin|DNM2	eNOS|NOS3
Dynamin-2|DNM2|Dynamin|DNM2	SLC9A1
SNX9	Dynamin-2|DNM2|Dynamin|DNM2
Dynamin-2|DNM2|Dynamin|DNM2	SNX9
Dynamin-2|DNM2|Dynamin|DNM2	Rac1|RAC1
Dynamin-2|DNM2|Dynamin|DNM2	PDGF receptor|PDGFRA|PDGF-R-alpha|PDGFRA
Dynamin-2|DNM2|Dynamin|DNM2	Caveolin-1|CAV1
Dynamin-2|DNM2|Dynamin|DNM2	Dopamine D2 receptor|DRD2|Galpha(i)-specific amine GPCRs|DRD2
Cortactin|CTTN	Dynamin-2|DNM2|Dynamin|DNM2
Dynamin-2|DNM2|Dynamin|DNM2	Cortactin|CTTN
Dynamin-2|DNM2|Dynamin|DNM2	nNOS|NOS1
C3G|RAPGEF1	TC10|RHOQ
C3G|RAPGEF1	CAS-L|NEDD9
C3G|RAPGEF1	MBIP
C3G|RAPGEF1	867-1398-2889-10580-10603
C3G|RAPGEF1	MRAP|LRPAP1
C3G|RAPGEF1	NCK1
C3G|RAPGEF1	RAP-1B|RAP1B
C3G|RAPGEF1	GLVR1|SLC20A1
C3G|RAPGEF1	E-cadherin (CTF1)|CDH1|E-cadherin (CTF2)|CDH1|E-cadherin|CDH1
C3G|RAPGEF1	PDGF receptor|PDGFRA|PDGF-R-alpha|PDGFRA|PDGF receptor|PDGFRB|PDGF-R-beta|PDGFRB
C3G|RAPGEF1	Beta-catenin|CTNNB1
C3G|RAPGEF1	R-Ras|RRAS
C3G|RAPGEF1	RhoA|RHOA
C3G|RAPGEF1	1399-2889-4803-4914-10818
C3G|RAPGEF1	1399-1600-2889
C3G|RAPGEF1	Ataxin-1|ATXN1
C3G|RAPGEF1	TC21|RRAS2
C3G|RAPGEF1	1399-2889
C3G|RAPGEF1	N-Ras|NRAS
C3G|RAPGEF1	Shc|SHC1
C3G|RAPGEF1	RAP-1A|RAP1A
C3G|RAPGEF1	GAB3|Gab|GAB3|GAB1|Gab|GAB1|GAB2|Gab|GAB2
C3G|RAPGEF1	Rap 1|DNAJC27
1398-1399	C3G|RAPGEF1
C3G|RAPGEF1	1398-1399
RGS3	Parkin|PARK2
IRF5	RGS3
RGS3	IRF5
RGS3	Tetrodotoxin-resistant Na(I) channel|SCN5A
RGS3	NMDA receptor|GRIN1|NR1|GRIN1|NMDA receptor|GRIN2A|NR2|GRIN2A|NR2A|GRIN2A|NMDA receptor|GRIN2B|NR2|GRIN2B|NR2B|GRIN2B|NMDA receptor|GRIN2C|NR2|GRIN2C|NR2C|GRIN2C|NMDA receptor|GRIN2D|NR2|GRIN2D|NR2D|GRIN2D
RGS3	PAX6
RGS3	G-protein alpha-11|GNA11|G-protein alpha-q/11|GNA11|G-protein alpha-q/11|GNAQ|G-protein alpha-q|GNAQ
RGS3	GLSL|GLS2
RGS3	ESR1 (membrane)|ESR1|ESR1 (mitochondrial)|ESR1|ESR1 (nuclear)|ESR1|ESR|ESR1|ESR2 (membrane)|ESR2|ESR2 (mitochondrial)|ESR2|ESR2|ESR|ESR2
RGS3	G-protein alpha-11|GNA11|G-protein alpha-q/11|GNA11
RGS3	ESR2 (membrane)|ESR2|ESR2 (mitochondrial)|ESR2|ESR2|ESR|ESR2
RGS3	G-protein alpha-i family|GNAO1|G-protein alpha-o|GNAO1
RGS3	HIPK3
RGS3	G-protein alpha-q/11|GNAQ|G-protein alpha-q|GNAQ
RGS3	G-protein alpha-i family|GNAI3|G-protein alpha-i3|GNAI3
RGS3	ESR1 (membrane)|ESR1|ESR1 (mitochondrial)|ESR1|ESR1 (nuclear)|ESR1|ESR|ESR1
SOS1|SOS|SOS1	MAP1LC3A
2885-6654	2885-3643-3667-6654
2885-6654	SHC2 (SCK)|SHC2
2885-6654	1436-2885-6654
2885-6654	2885-3480-6464-6654
2885-6654	2885-5154-5156-6654
2885-6654	IRS-1|IRS1
2885-6654	2885-3643-6464-6654
2885-6654	2885-4803-4914-6654
2885-6654	2885-3643-6654
2885-6654	BLNK
2885-6654	1950-1956-2885-6654
2885-6654	2885-6654-10817
2885-6654	2885-3480-3667-6654
2885-6654	2885-6654-10252
1950-1956-2549-2885-5781	1445-5829-6714
1950-1956-2549-2885-5781	PAG|PAG1
1950-1956-2549-2885-5781	Csk|CSK
1950-1956-2549-2885-5781	5829-6714
Large 60S subunit|RNA5-8S5|RN5-8S1|RNA5-8S5|rRNAs (5.8S; 18S; 28S)|RNA5-8S5|18S rRNA|RNA18S5|Large 60S subunit|RNA18S5|rRNAs (5.8S; 18S; 28S)|RNA18S5|28S rRNA|RNA28S5|Large 60S subunit|RNA28S5|rRNAs (5.8S; 18S; 28S)|RNA28S5|Large 60S subunit|RPL17-C18orf32|Large 60S subunit|RPL35|RPL35|Large 60S subunit|RPL13A|RPL13A|Large 60S subunit|RPL36|RPL36|Large 60S subunit|RPL10A|RPL10A (CsA-19)|RPL10A|5S RNA|RN5S1@|Large 60S subunit|RN5S1@|RN5S1@|Large 60S subunit|RNR1|Small 40S subunit|RNR1|rRNAs (5.8S; 18S; 28S)|RNR1|Large 60S subunit|RNR2|Small 40S subunit|RNR2|rRNAs (5.8S; 18S; 28S)|RNR2|Large 60S subunit|RNR3|Small 40S subunit|RNR3|rRNAs (5.8S; 18S; 28S)|RNR3|Large 60S subunit|RNR4|Small 40S subunit|RNR4|rRNAs (5.8S; 18S; 28S)|RNR4|Large 60S subunit|RNR5|Small 40S subunit|RNR5|rRNAs (5.8S; 18S; 28S)|RNR5|Large 60S subunit|RPL3|RPL3|Large 60S subunit|RPL4|RPL4|Large 60S subunit|RPL5|RPL5|Large 60S subunit|RPL6|RPL6|Large 60S subunit|RPL7|RPL7|Large 60S subunit|RPL7A|RPL7A|Large 60S subunit|RPL8|RPL8|Large 60S subunit|RPL9|RPL9|Large 60S subunit|RPL10|QM|RPL10|Large 60S subunit|RPL11|RPL11|Large 60S subunit|RPL12|RPL12|Large 60S subunit|RPL13|RPL13|Large 60S subunit|RPL15|RPL15|Large 60S subunit|RPL17|RPL17|Large 60S subunit|RPL18|RPL18|Large 60S subunit|RPL18A|RPL18a|RPL18A|Large 60S subunit|RPL19|RPL19|Large 60S subunit|RPL21|RPL21|Large 60S subunit|RPL22|RPL22|Large 60S subunit|RPL23A|rpL23a|RPL23A|Large 60S subunit|RPL24|RPL24|Large 60S subunit|RPL26|RPL26|Large 60S subunit|RPL27|RPL27|Large 60S subunit|RPL30|RPL30|Large 60S subunit|RPL27A|RPL27A|Large 60S subunit|RPL29|RPL29|Large 60S subunit|RPL31|RPL31|Large 60S subunit|RPL32|RPL32|Large 60S subunit|RPL34|RPL34|Large 60S subunit|RPL35A|RPL35a|RPL35A|Large 60S subunit|RPL37|RPL37|Large 60S subunit|RPL37A|RPL37A|Large 60S subunit|RPL38|RPL38|Large 60S subunit|RPL39|RPL39|Large 60S subunit|RPL41|RPL41|Large 60S subunit|RPL36A|RPL36A|Large 60S subunit|RPLP0|RPLP0|Large 60S subunit|RPLP1|RPLP1|Large 60S subunit|RPLP2|RPLP2|Large 60S subunit|UBA52|RP40|UBA52|Large 60S subunit|RPL14|RPL14|Large 60S subunit|RPL23|RPL23	867-2885-5781-10818
867-2885-5781-10818	Large 60S subunit|RNA5-8S5|RN5-8S1|RNA5-8S5|rRNAs (5.8S; 18S; 28S)|RNA5-8S5|18S rRNA|RNA18S5|Large 60S subunit|RNA18S5|rRNAs (5.8S; 18S; 28S)|RNA18S5|28S rRNA|RNA28S5|Large 60S subunit|RNA28S5|rRNAs (5.8S; 18S; 28S)|RNA28S5|Large 60S subunit|RPL17-C18orf32|Large 60S subunit|RPL35|RPL35|Large 60S subunit|RPL13A|RPL13A|Large 60S subunit|RPL36|RPL36|Large 60S subunit|RPL10A|RPL10A (CsA-19)|RPL10A|5S RNA|RN5S1@|Large 60S subunit|RN5S1@|RN5S1@|Large 60S subunit|RNR1|Small 40S subunit|RNR1|rRNAs (5.8S; 18S; 28S)|RNR1|Large 60S subunit|RNR2|Small 40S subunit|RNR2|rRNAs (5.8S; 18S; 28S)|RNR2|Large 60S subunit|RNR3|Small 40S subunit|RNR3|rRNAs (5.8S; 18S; 28S)|RNR3|Large 60S subunit|RNR4|Small 40S subunit|RNR4|rRNAs (5.8S; 18S; 28S)|RNR4|Large 60S subunit|RNR5|Small 40S subunit|RNR5|rRNAs (5.8S; 18S; 28S)|RNR5|Large 60S subunit|RPL3|RPL3|Large 60S subunit|RPL4|RPL4|Large 60S subunit|RPL5|RPL5|Large 60S subunit|RPL6|RPL6|Large 60S subunit|RPL7|RPL7|Large 60S subunit|RPL7A|RPL7A|Large 60S subunit|RPL8|RPL8|Large 60S subunit|RPL9|RPL9|Large 60S subunit|RPL10|QM|RPL10|Large 60S subunit|RPL11|RPL11|Large 60S subunit|RPL12|RPL12|Large 60S subunit|RPL13|RPL13|Large 60S subunit|RPL15|RPL15|Large 60S subunit|RPL17|RPL17|Large 60S subunit|RPL18|RPL18|Large 60S subunit|RPL18A|RPL18a|RPL18A|Large 60S subunit|RPL19|RPL19|Large 60S subunit|RPL21|RPL21|Large 60S subunit|RPL22|RPL22|Large 60S subunit|RPL23A|rpL23a|RPL23A|Large 60S subunit|RPL24|RPL24|Large 60S subunit|RPL26|RPL26|Large 60S subunit|RPL27|RPL27|Large 60S subunit|RPL30|RPL30|Large 60S subunit|RPL27A|RPL27A|Large 60S subunit|RPL29|RPL29|Large 60S subunit|RPL31|RPL31|Large 60S subunit|RPL32|RPL32|Large 60S subunit|RPL34|RPL34|Large 60S subunit|RPL35A|RPL35a|RPL35A|Large 60S subunit|RPL37|RPL37|Large 60S subunit|RPL37A|RPL37A|Large 60S subunit|RPL38|RPL38|Large 60S subunit|RPL39|RPL39|Large 60S subunit|RPL41|RPL41|Large 60S subunit|RPL36A|RPL36A|Large 60S subunit|RPLP0|RPLP0|Large 60S subunit|RPLP1|RPLP1|Large 60S subunit|RPLP2|RPLP2|Large 60S subunit|UBA52|RP40|UBA52|Large 60S subunit|RPL14|RPL14|Large 60S subunit|RPL23|RPL23
867-2885-5781-10818	UBB|Ubiquitin|UBB|UBC|Ubiquitin|UBC
2668-2674-2885-5979-85358	5290-5295
